date,rank,rating
07/27/2017,71.0,0.0021368029741164
07/28/2017,71.0,0.0021379154094602
07/29/2017,69.0,0.0021421587004568
07/30/2017,68.0,0.0021432688696859
07/31/2017,68.0,0.0021443847277401
08/01/2017,68.0,0.0021455062834882
08/02/2017,68.0,0.0021466335419093
08/03/2017,68.0,0.0021477665035417
08/04/2017,68.0,0.0021489051638465
08/05/2017,66.0,0.0021671360762837
08/06/2017,67.0,0.0021683244488738
08/07/2017,67.0,0.0021695188409838
08/08/2017,67.0,0.0021707192339957
08/09/2017,67.0,0.0021719256006197
08/10/2017,67.0,0.0021731379035126
08/11/2017,67.0,0.0021743560936445
08/12/2017,69.0,0.0021142307339026
08/13/2017,69.0,0.00214768907377
08/14/2017,69.0,0.0021487886490109
08/15/2017,68.0,0.0021498940161995
08/16/2017,68.0,0.0021510052194519
08/17/2017,68.0,0.0021521223032908
08/18/2017,68.0,0.0021532453126487
08/19/2017,70.0,0.0021498534139949
08/20/2017,70.0,0.0021509819842008
08/21/2017,70.0,0.0021521165446699
08/22/2017,70.0,0.0021532571409953
08/23/2017,70.0,0.002154403819171
08/24/2017,70.0,0.0021555566255932
08/25/2017,69.0,0.0021567156070598
08/26/2017,72.0,0.0021312914776274
08/27/2017,72.0,0.0021324663620381
08/28/2017,72.0,0.0021336476391803
08/29/2017,72.0,0.0021348353587131
08/30/2017,72.0,0.0021360295707121
08/31/2017,72.0,0.0021372303256667
09/01/2017,71.0,0.0021384376744771
09/02/2017,71.0,0.0021396516684491
09/03/2017,72.0,0.0021311075451073
09/04/2017,72.0,0.0021323177268169
09/05/2017,72.0,0.0021335345653774
09/06/2017,72.0,0.0021347581114781
09/07/2017,72.0,0.0021359884160992
09/08/2017,72.0,0.0021372255304947
09/09/2017,72.0,0.0021384695061731
09/10/2017,72.0,0.0021397203948752
09/11/2017,72.0,0.0021409782485495
09/12/2017,72.0,0.002142243119324
09/13/2017,72.0,0.0021435150594747
09/14/2017,72.0,0.0021447941213901
09/15/2017,72.0,0.0021460803575307
09/16/2017,72.0,0.0021473738203842
09/17/2017,72.0,0.0021486745624146
09/18/2017,72.0,0.0021499826360049
09/19/2017,72.0,0.0021512980933929
09/20/2017,72.0,0.0021526209865981
09/21/2017,72.0,0.0021539513673408
09/22/2017,72.0,0.0021552892869489
09/23/2017,72.0,0.0021566347962547
09/24/2017,72.0,0.0021579879454767
09/25/2017,72.0,0.0021593487840872
