date,rank,rating
01/01/2017,49.0,0.0040580410870101
01/02/2017,49.0,0.0040550971501278
01/03/2017,49.0,0.004052130978201
01/04/2017,49.0,0.0040491423139807
01/05/2017,49.0,0.0040461308961593
01/06/2017,49.0,0.0040430964592879
01/07/2017,49.0,0.0040400387336934
01/08/2017,49.0,0.0040370793721048
01/09/2017,49.0,0.0040339745327343
01/10/2017,49.0,0.0040308455736916
01/11/2017,49.0,0.0040276922075911
01/12/2017,49.0,0.0040245141423718
01/13/2017,49.0,0.0040213110811989
01/14/2017,49.0,0.0040180827223646
01/15/2017,49.0,0.004014828759185
01/16/2017,49.0,0.0040115488798956
01/17/2017,49.0,0.0040082427675425
01/18/2017,49.0,0.0040049100998727
01/19/2017,49.0,0.0040015505492198
01/20/2017,49.0,0.0039981637823876
01/21/2017,49.0,0.0039947494605304
01/22/2017,49.0,0.0039913072390301
01/23/2017,50.0,0.0039878367673701
01/24/2017,50.0,0.0039843376890056
01/25/2017,50.0,0.0039808096412306
01/26/2017,50.0,0.0039772522550414
01/27/2017,50.0,0.0039736651549957
01/28/2017,50.0,0.0039700479590688
01/29/2017,50.0,0.0039664002785052
01/30/2017,50.0,0.0039627217176663
01/31/2017,50.0,0.0039590118738734
02/01/2017,50.0,0.0039552703372474
02/02/2017,50.0,0.0039514966905427
02/03/2017,50.0,0.0039476905089771
02/04/2017,51.0,0.0039396343204858
02/05/2017,52.0,0.0038927212012568
02/06/2017,52.0,0.0038887156543395
02/07/2017,52.0,0.0038846743953191
02/08/2017,52.0,0.0038805969338786
02/09/2017,52.0,0.0038764827704717
02/10/2017,52.0,0.0038723313960987
02/11/2017,52.0,0.0038681422920773
02/12/2017,52.0,0.0038639149298054
02/13/2017,52.0,0.0038596487705168
02/14/2017,52.0,0.0038553432650305
02/15/2017,52.0,0.0038509978534913
02/16/2017,52.0,0.0038466119651025
02/17/2017,52.0,0.0038421850178512
02/18/2017,52.0,0.0038377164182243
02/19/2017,52.0,0.0038332055609159
02/20/2017,52.0,0.0038286518285252
02/21/2017,52.0,0.0038240545912459
02/22/2017,52.0,0.0038194132065442
02/23/2017,52.0,0.0038147270188276
02/24/2017,52.0,0.003809995359103
02/25/2017,52.0,0.003805217544623
02/26/2017,52.0,0.0038003928785216
02/27/2017,52.0,0.0037955206494374
02/28/2017,52.0,0.0037906001311244
03/01/2017,52.0,0.0037856305820502
03/02/2017,52.0,0.0037806112449808
03/03/2017,52.0,0.0037755413465506
03/04/2017,52.0,0.0037704200968195
03/05/2017,52.0,0.0037652466888131
03/06/2017,52.0,0.0037600202980489
03/07/2017,52.0,0.0037547400820445
03/08/2017,52.0,0.0037494051798102
03/09/2017,52.0,0.0037440147113231
03/10/2017,52.0,0.0037385677769825
03/11/2017,49.0,0.0032696795692525
03/12/2017,49.0,0.0032633995898341
03/13/2017,49.0,0.0032570577068581
03/14/2017,49.0,0.0032506529882544
03/15/2017,49.0,0.003244184482954
03/16/2017,49.0,0.0032376512203995
03/17/2017,49.0,0.0032310522100393
03/18/2017,49.0,0.0032243864408061
03/19/2017,49.0,0.0032176528805793
03/20/2017,49.0,0.0032108504756296
03/21/2017,49.0,0.0032039781500465
03/22/2017,49.0,0.0031970348051472
03/23/2017,49.0,0.0031900193188661
03/24/2017,49.0,0.0031829305451248
03/25/2017,49.0,0.0031757673131814
03/26/2017,52.0,0.003026043517769
03/27/2017,52.0,0.0030189362913414
03/28/2017,52.0,0.0030117536979466
03/29/2017,52.0,0.0030044945119583
03/30/2017,52.0,0.0029971574807037
