date,rank,rating
01/01/2017,195.0,0.0007608117560882
01/02/2017,195.0,0.0007607719940675
01/03/2017,195.0,0.0007607319474964
01/04/2017,195.0,0.0007606916132389
01/05/2017,195.0,0.0007606509881114
01/06/2017,196.0,0.0007606100688822
01/07/2017,195.0,0.0007605688522702
01/08/2017,195.0,0.0007605305796374
01/09/2017,195.0,0.0007604887748334
01/10/2017,195.0,0.0007604466625873
01/11/2017,195.0,0.0007604042394114
01/12/2017,195.0,0.0007603615017636
01/13/2017,195.0,0.0007603184460465
01/14/2017,195.0,0.0007602750686061
01/15/2017,195.0,0.0007602313657306
01/16/2017,195.0,0.0007601873336492
01/17/2017,196.0,0.0007601429685313
01/18/2017,195.0,0.0007600982664847
01/19/2017,195.0,0.0007600532235545
01/20/2017,195.0,0.0007600078357222
01/21/2017,195.0,0.0007599620989039
01/22/2017,196.0,0.000759916008949
01/23/2017,195.0,0.0007598695616388
01/24/2017,195.0,0.0007598227526855
01/25/2017,195.0,0.0007597755777298
01/26/2017,195.0,0.0007597280323405
01/27/2017,195.0,0.0007596801120119
01/28/2017,195.0,0.0007596318121628
01/29/2017,195.0,0.0007595831281349
01/30/2017,195.0,0.0007595340551907
01/31/2017,195.0,0.000759484588512
02/01/2017,195.0,0.0007594347231983
02/02/2017,195.0,0.0007593844542644
02/03/2017,195.0,0.0007593337766393
02/04/2017,199.0,0.0007387655740464
02/05/2017,204.0,0.0007223596858771
02/06/2017,203.0,0.0007223095487588
02/07/2017,203.0,0.0007222589998131
02/08/2017,203.0,0.0007222080337645
02/09/2017,203.0,0.0007221566452439
02/10/2017,203.0,0.0007221048287859
02/11/2017,203.0,0.000722052578827
02/12/2017,203.0,0.0007219998897032
02/13/2017,203.0,0.0007219467556475
02/14/2017,203.0,0.0007218931707875
02/15/2017,203.0,0.0007218391291431
02/16/2017,203.0,0.0007217846246236
02/17/2017,203.0,0.0007217296510252
02/18/2017,203.0,0.0007216742020281
02/19/2017,203.0,0.0007216182711941
02/20/2017,203.0,0.000721561851963
02/21/2017,203.0,0.0007215049376504
02/22/2017,203.0,0.0007214475214438
02/23/2017,202.0,0.0007213895964001
02/24/2017,203.0,0.0007213311554415
02/25/2017,203.0,0.0007212721913532
02/26/2017,203.0,0.0007212126967788
02/27/2017,203.0,0.0007211526642172
02/28/2017,203.0,0.0007210920860191
03/01/2017,203.0,0.0007210309543826
03/02/2017,203.0,0.0007209692613494
03/03/2017,203.0,0.0007209069988008
03/04/2017,203.0,0.0007208441584535
03/05/2017,203.0,0.000720780731855
03/06/2017,203.0,0.000720716710379
03/07/2017,203.0,0.000720652085221
03/08/2017,203.0,0.0007205868473932
03/09/2017,203.0,0.0007205209877194
03/10/2017,202.0,0.0007204544968301
03/11/2017,213.0,0.0006629694244971
03/12/2017,213.0,0.0006629288920914
03/13/2017,213.0,0.0006628880789194
03/14/2017,213.0,0.0006628469819136
03/15/2017,213.0,0.0006628055979595
03/16/2017,213.0,0.0006627639238943
03/17/2017,213.0,0.0006627219565057
03/18/2017,213.0,0.0006626796925312
03/19/2017,213.0,0.0006626371286569
03/20/2017,213.0,0.0006625942615164
03/21/2017,213.0,0.0006625510876899
03/22/2017,214.0,0.0006625076037027
03/23/2017,214.0,0.0006624638060241
03/24/2017,214.0,0.0006624196910667
03/25/2017,214.0,0.0006623752551842
03/26/2017,226.0,0.0006167924412218
03/27/2017,226.0,0.0006167521637487
03/28/2017,226.0,0.0006167116011371
03/29/2017,226.0,0.0006166707502421
03/30/2017,226.0,0.0006166296078705
03/31/2017,226.0,0.00061658817078
04/01/2017,256.0,0.0005856330501909
04/02/2017,256.0,0.0005855928554291
04/03/2017,256.0,0.0005855523683608
04/04/2017,256.0,0.0005855115856644
04/05/2017,256.0,0.0005854705039659
04/06/2017,256.0,0.0005854291198379
04/07/2017,256.0,0.0005853874297986
04/08/2017,256.0,0.0005853454303104
04/09/2017,256.0,0.0005853031177788
04/10/2017,256.0,0.0005852604885514
04/11/2017,256.0,0.0005852175389168
04/12/2017,256.0,0.000585174265103
04/13/2017,256.0,0.000585130663276
04/14/2017,256.0,0.0005850867295393
04/15/2017,256.0,0.0005850424599317
04/16/2017,256.0,0.0005849978504262
04/17/2017,256.0,0.0005849528969288
04/18/2017,256.0,0.0005849075952769
04/19/2017,256.0,0.0005848619412377
04/20/2017,256.0,0.0005848159305068
04/21/2017,256.0,0.0005847695587066
04/22/2017,256.0,0.0005847228213847
04/23/2017,256.0,0.0005846757140122
04/24/2017,256.0,0.0005846282319822
04/25/2017,256.0,0.0005845803706077
04/26/2017,256.0,0.0005845321251201
04/27/2017,256.0,0.0005844834906674
04/28/2017,256.0,0.0005844344623119
04/29/2017,256.0,0.0005843850350288
04/30/2017,256.0,0.0005843352037041
05/01/2017,256.0,0.0005842849631321
05/02/2017,256.0,0.0005842343080138
05/03/2017,256.0,0.0005841832329547
05/04/2017,256.0,0.0005841317324625
05/05/2017,256.0,0.0005840798009446
05/06/2017,256.0,0.0005840274327064
05/07/2017,256.0,0.0005839746219481
05/08/2017,256.0,0.0005839213627631
05/09/2017,256.0,0.000583867649135
05/10/2017,256.0,0.0005838134749351
05/11/2017,254.0,0.0005837588339198
05/12/2017,254.0,0.0005837037197281
05/13/2017,254.0,0.0005836481258784
05/14/2017,254.0,0.0005835920457665
05/15/2017,254.0,0.0005835354726618
05/16/2017,254.0,0.0005834783997051
05/17/2017,254.0,0.000583420819905
05/18/2017,254.0,0.0005833627261357
05/19/2017,254.0,0.0005833041111329
05/20/2017,254.0,0.0005832449674918
05/21/2017,254.0,0.0005831852876627
05/22/2017,255.0,0.0005831250639491
05/23/2017,255.0,0.0005830642885033
05/24/2017,255.0,0.0005830029533243
05/25/2017,255.0,0.0005829410502536
05/26/2017,255.0,0.0005828785709726
05/27/2017,255.0,0.0005828155069994
05/28/2017,255.0,0.0005827501951444
05/29/2017,255.0,0.0005826859597073
05/30/2017,255.0,0.000582621113628
05/31/2017,255.0,0.000582555647759
06/01/2017,255.0,0.0005824895527768
06/02/2017,255.0,0.0005824228191792
06/03/2017,255.0,0.0005823554372845
06/04/2017,255.0,0.0005822873972296
06/05/2017,254.0,0.0005822186889701
06/06/2017,254.0,0.0005821493022804
06/07/2017,254.0,0.000582079226755
06/08/2017,254.0,0.000582008451811
06/09/2017,254.0,0.0005819369666917
06/10/2017,254.0,0.0005818647604725
06/11/2017,255.0,0.000581791822069
06/12/2017,255.0,0.0005817181402467
06/13/2017,254.0,0.0005816437036359
06/14/2017,254.0,0.0005815685007489
