athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,
Alex Meyer,USA,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,6944.72,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simone Ruffini,ITA,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,6945.44,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federico Vanelli,ITA,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,6947.31,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diego Vera,VEN,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,6949.74,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axel Reymond,FRA,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,6950.15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damien Cattin-Vidal,FRA,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,6970.54,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esteban Enderica Salgado,ECU,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,6975.10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Delgadillo,MEX,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,6977.02,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mario Sanzullo,ITA,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,6978.20,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin Carrizo Yunges,ARG,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,6982.02,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erwin Maldonado,VEN,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,6986.10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Brantu,FRA,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,6986.42,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guillermo Bertola,ARG,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,6989.46,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivan Enderica Ochoa,ECU,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,6990.01,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Reichert,GER,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,6990.68,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luis Fernardo Bolanos Zuloaga,VEN,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,6993.17,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wilder Carreno,VEN,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,6995.61,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chip Peterson,USA,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,7003.43,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juan Jose Segovia Ramos,VEN,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,7007.53,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea Bianchi,ITA,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,7011.36,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santiago Enderica,ECU,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,7025.69,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diogo Villarinho,BRA,02/07/2016,FINA World Cup,"Viedma, ARG",10,NW,Neutral,39,7055.70,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
