name,pagerank,rank
Gregorio Paltrinieri,0.09101236774307674,1
Domenico Acerenza,0.07348957696565028,2
Kristof Rasovszky,0.05882056926542817,3
Marc-Antoine Olivier,0.05369922457024237,4
Florian Wellbrock,0.0380242320234866,5
David Betlehem,0.03373963451465404,6
Marcello Guidi,0.024535442385522313,7
Mario Sanzullo,0.02165025160387618,8
Andrea Manzi,0.020766804960647155,9
Dario Verani,0.0205716062648462,10
Matan Roditi,0.017653280732860925,11
Logan Fontaine,0.017190972924377303,12
Nicholas Sloman,0.015655592053223068,13
Matteo Furlan,0.015505576071609512,14
Axel Reymond,0.015338636710594714,15
Oliver Klemet,0.013281449157116914,16
Sacha Velly,0.012965543608520994,17
Hector Thomas Cheal Pardoe,0.011534827198867968,18
Pasquale Sanzullo,0.011229760043042221,19
Athanasios Kynigakis,0.010655260160735355,20
Mykhailo Romanchuk,0.009566892758845575,21
Niklas Frach,0.009458723694913284,22
Marcel Schouten,0.00866560202385565,23
Tobias Patrick Robinson,0.0084474173192093,24
Logan Vanhuys,0.008334012544494267,25
Jules Wallart,0.006563328003483305,26
Kirill Abrosimov,0.0062533704545787334,27
Ferry Weertman,0.006240759117430492,28
Bailey Armstrong,0.006196678026241825,29
Alberto Martinez,0.0054828337968595535,30
Akos Kalmar,0.005349888567930471,31
Kyle Lee,0.004772456603725542,32
Jan Hercog,0.004719391606724916,33
Fares Zitouni,0.0045852880172568096,34
Tiago Campos,0.004476298574221764,35
Hau-Li Fan,0.004401141189979428,36
Kai Graeme Edwards,0.004389496716889123,37
Taishin Minamide,0.004300288068951772,38
Ziv Cohen,0.004296107685282876,39
Brennan Gravley,0.004256266873178808,40
Simone Ruffini,0.003930119005014497,41
Lars Bottelier,0.003922478484274285,42
Seres Hunor Kovacs,0.0038270835342110346,43
Rob Muffels,0.0038204604150568707,44
Matej Kozubek,0.0037847645191138135,45
Daniel Szekelyi,0.00373303778984822,46
Maor Goralnik,0.003682554701627218,47
Esteban Enderica Salgado,0.0034918676192169373,48
Enzo Roldan Munoz,0.003443217334448156,49
Zalan Sarkany,0.0033488151226132865,50
Peter Galicz,0.003292460158765525,51
Guillem Pujol,0.0032015634901670633,52
Linus Schwedler,0.0031953787739689692,53
Elliot Sodemann,0.003081212525243592,54
Dylan Gravley,0.003050578309634002,55
David Aubry,0.0026814787950685194,56
Martin Straka,0.002652658756596766,57
David Farinango,0.0026502352906269512,58
Andrea Filadelli,0.0026329383147671074,59
Evgenij Pop Acev,0.0025775154557368006,60
Ben Langner,0.0025486869530783637,61
Jack Wilson,0.002212241845672371,62
Christian Schreiber,0.0021077227042910684,63
Diogo Cardoso,0.0020148094649341114,64
Joaquin Moreno,0.0020079509798656874,65
Adam Pinter,0.0020065074631784273,66
Michael Mcglynn,0.0019793048339653346,67
Fabio Dalu,0.001941942358679287,68
Vitaliy Khudyakov,0.0018855762957612433,69
Jean-Baptiste Clusman,0.0018722358882669627,70
Davide Marchello,0.0018155204182134074,71
Allan Do Carmo,0.0018151660953051646,72
Franco Ivo Cassini,0.0017952625678918194,73
Joey Tepper,0.0017798276860528847,74
Andreas Waschburger,0.0017645840598678117,75
Ondrej Zach,0.0017320375195605045,76
Leo Ouabdesselam,0.00168189732696891,77
Matthieu Magne,0.0016500238733988101,78
Ido Gal,0.0016371123613281517,79
Daniel Delgadillo,0.0016124209117633968,80
Diogo Villarinho,0.0015956105475273615,81
Cheng-Chi Cho,0.0015883981056719668,82
Michael Brinegar,0.0015616033149878543,83
Tamas Farkas,0.0015267687143945131,84
Krzysztof Chmielewski,0.0014891955942779847,85
Evgenii Drattcev,0.0014471483728086655,86
Pepijn Smits,0.0013976150315852865,87
Hunor Kovacs-Seres,0.001316810828730461,88
Francesco Ghettini,0.0013106795697341773,89
Alexis Vandevelde,0.001301904940407428,90
Aaron Elias Schmidt,0.0012784077118050269,91
Giuseppe Ilario,0.0012767617326349488,92
David Huszti,0.0012683571701119,93
Ous Mellouli,0.001266023508824863,94
Thomas Edward Raymond,0.001262944704756468,95
Alessio Occhipinti,0.0012298149166447242,96
Simon Lamar,0.0012184430056558842,97
Edoardo Stochino,0.0012168160671958454,98
Bruce Hanson Almeida,0.0011812940753756478,99
Marco Inglima,0.0011795433761915169,100
Yonatan Ahdut,0.0011789840677627484,101
William Yan Thorley,0.0011657913395715688,102
Matias Diaz Hernandez,0.001154995753877179,103
Eden Floresfertin,0.001140318434640042,104
Jordan Wilimovsky,0.0011198107791378462,105
Vit Ingeduld,0.001118662891013491,106
Alexandre Verplaetse,0.0011123200773797905,107
Robert William Bonsall,0.0011114606605569155,108
Vincenzo Caso,0.0011094290411694217,109
Noam Offek,0.0010383242460156128,110
Omri Abdelshafi,0.0010194552585817526,111
Yuval Safra,0.0010182643840212088,112
Denis Adeev,0.0010083215517746906,113
Kaiki Furuhata,0.001007409931443112,114
