athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,Unnamed: 41
Vladimir Dyatchin,RUS,04/07/2007,FINA World Cup,"Ajman, UAE",10.0,NW,Neutral,29.0,7383.73,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evgeny Koshkarov,RUS,04/07/2007,FINA World Cup,"Ajman, UAE",10.0,NW,Neutral,29.0,7400.43,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohamed Monir El Zanaty,EGY,04/07/2007,FINA World Cup,"Ajman, UAE",10.0,NW,Neutral,29.0,7403.52,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loic Branda,FRA,04/07/2007,FINA World Cup,"Ajman, UAE",10.0,NW,Neutral,29.0,7410.33,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander Studzinski,GER,04/07/2007,FINA World Cup,"Ajman, UAE",10.0,NW,Neutral,29.0,7449.05,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maarten Van Der Weijden,NED,04/07/2007,FINA World Cup,"Ajman, UAE",10.0,NW,Neutral,29.0,7450.72,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stéphane Gomez,FRA,04/07/2007,FINA World Cup,"Ajman, UAE",10.0,NW,Neutral,29.0,7451.25,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saleh Mohammad,SYR,04/07/2007,FINA World Cup,"Ajman, UAE",10.0,NW,Neutral,29.0,7453.44,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fran Crippen,USA,04/07/2007,FINA World Cup,"Ajman, UAE",10.0,NW,Neutral,29.0,7455.67,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julien Sauvage,FRA,04/07/2007,FINA World Cup,"Ajman, UAE",10.0,NW,Neutral,29.0,7459.5,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mazen Mohamed Aziz,EGY,04/07/2007,FINA World Cup,"Ajman, UAE",10.0,NW,Neutral,29.0,7460.33,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Flanagan,USA,04/07/2007,FINA World Cup,"Ajman, UAE",10.0,NW,Neutral,29.0,7503.96,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Genet,FRA,04/07/2007,FINA World Cup,"Ajman, UAE",10.0,NW,Neutral,29.0,7435.33,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rok Kerin,SLO,04/07/2007,FINA World Cup,"Ajman, UAE",10.0,NW,Neutral,29.0,7602.83,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petar Stoychev,BUL,04/07/2007,FINA World Cup,"Ajman, UAE",10.0,NW,Neutral,29.0,8107.97,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simon Tobin­-Daignault,CAN,04/07/2007,FINA World Cup,"Ajman, UAE",10.0,NW,Neutral,29.0,8153.63,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adel Elbehiry,EGY,04/07/2007,FINA World Cup,"Ajman, UAE",10.0,NW,Neutral,29.0,8309.17,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fouad Shaikh Bakri,SYR,04/07/2007,FINA World Cup,"Ajman, UAE",10.0,NW,Neutral,29.0,8531.25,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammed Jassim Alghareeb,KSA,04/07/2007,FINA World Cup,"Ajman, UAE",10.0,NW,Neutral,29.0,8608.83,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
