athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,Unnamed: 41
Valerio Cleri,ITA,08/25/2007,FINA World Cup,"Vienna, AUT",10.0,NW,Neutral,17.0,6843.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maarten Van Der Weijden,NED,08/25/2007,FINA World Cup,"Vienna, AUT",10.0,NW,Neutral,17.0,6845.64,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spyridon Gianniotis,GRE,08/25/2007,FINA World Cup,"Vienna, AUT",10.0,NW,Neutral,17.0,6847.23,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simone Ercoli,ITA,08/25/2007,FINA World Cup,"Vienna, AUT",10.0,NW,Neutral,17.0,6853.85,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea Righi,ITA,08/25/2007,FINA World Cup,"Vienna, AUT",10.0,NW,Neutral,17.0,6854.09,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniil Serebrennikov,RUS,08/25/2007,FINA World Cup,"Vienna, AUT",10.0,NW,Neutral,17.0,6867.77,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Ryckeman,BEL,08/25/2007,FINA World Cup,"Vienna, AUT",10.0,NW,Neutral,17.0,6870.58,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicola Bolzonello,ITA,08/25/2007,FINA World Cup,"Vienna, AUT",10.0,NW,Neutral,17.0,6870.64,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohamed El Znaty,EGY,08/25/2007,FINA World Cup,"Vienna, AUT",10.0,NW,Neutral,17.0,6871.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stéphane Gomez,FRA,08/25/2007,FINA World Cup,"Vienna, AUT",10.0,NW,Neutral,17.0,6871.37,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jakub Fichtl,CZE,08/25/2007,FINA World Cup,"Vienna, AUT",10.0,NW,Neutral,17.0,6872.89,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aljaz Ojstersek,SLO,08/25/2007,FINA World Cup,"Vienna, AUT",10.0,NW,Neutral,17.0,6942.93,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Katzir,ISR,08/25/2007,FINA World Cup,"Vienna, AUT",10.0,NW,Neutral,17.0,7013.11,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolfgang Mairinger,AUT,08/25/2007,FINA World Cup,"Vienna, AUT",10.0,NW,Neutral,17.0,7206.29,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgios Charcharis,GRE,08/25/2007,FINA World Cup,"Vienna, AUT",10.0,NW,Neutral,17.0,7270.35,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Csaba Gercsak,HUN,08/25/2007,FINA World Cup,"Vienna, AUT",10.0,NW,Neutral,17.0,7601.46,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marko Rafaj,CRO,08/25/2007,FINA World Cup,"Vienna, AUT",10.0,NW,Neutral,17.0,9086.75,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
