athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,Unnamed: 41
Marc-Antoine Olivier,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Burnell,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simone Ruffini,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evgenii Drattcev,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axel Reymond,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Reichert,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andreas Waschburger,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferry Weertman,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allan Do Carmo,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Papp,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
