athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,Unnamed: 41
Matteo Furlan,ITA,09/03/2017,FINA Grand Prix,"Capri-Napoli, ITA",16.0,NW,Neutral,17.0,14017.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea Bianchi,ITA,09/03/2017,FINA Grand Prix,"Capri-Napoli, ITA",16.0,NW,Neutral,17.0,14023.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guillermo Bertola,ARG,09/03/2017,FINA Grand Prix,"Capri-Napoli, ITA",16.0,NW,Neutral,17.0,14042.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evgenij Pop Acev,MKD,09/03/2017,FINA Grand Prix,"Capri-Napoli, ITA",16.0,NW,Neutral,17.0,14043.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander Studzinski,GER,09/03/2017,FINA Grand Prix,"Capri-Napoli, ITA",16.0,NW,Neutral,17.0,14043.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Desharnais,CAN,09/03/2017,FINA Grand Prix,"Capri-Napoli, ITA",16.0,NW,Neutral,17.0,14327.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damian Blaum,ARG,09/03/2017,FINA Grand Prix,"Capri-Napoli, ITA",16.0,NW,Neutral,17.0,14328.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edoardo Stochino,ITA,09/03/2017,FINA Grand Prix,"Capri-Napoli, ITA",16.0,NW,Neutral,17.0,14328.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matheus Emerim Evangelista,BRA,09/03/2017,FINA Grand Prix,"Capri-Napoli, ITA",16.0,NW,Neutral,17.0,14346.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edouard Lehoux,FRA,09/03/2017,FINA Grand Prix,"Capri-Napoli, ITA",16.0,NW,Neutral,17.0,14603.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bertrand Venturi,ITA,09/03/2017,FINA Grand Prix,"Capri-Napoli, ITA",16.0,NW,Neutral,17.0,14634.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aleksandar Ilievski,MKD,09/03/2017,FINA Grand Prix,"Capri-Napoli, ITA",16.0,NW,Neutral,17.0,15441.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matias Diaz Hernandez,ARG,09/03/2017,FINA Grand Prix,"Capri-Napoli, ITA",16.0,NW,Neutral,17.0,15929.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquiles Balaudo,ARG,09/03/2017,FINA Grand Prix,"Capri-Napoli, ITA",16.0,NW,Neutral,17.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolas Seguardo,ARG,09/03/2017,FINA Grand Prix,"Capri-Napoli, ITA",16.0,NW,Neutral,17.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fernando Dario Ciaramella,ARG,09/03/2017,FINA Grand Prix,"Capri-Napoli, ITA",16.0,NW,Neutral,17.0,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
