athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,Unnamed: 41
Kristof Rasovszky,HUN,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,49.0,5512.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allan Do Carmo,BRA,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,49.0,5512.4,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fernando Ponte,BRA,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,49.0,5514.9,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferry Weertman,NED,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,49.0,5516.9,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soren Dellef Meissner,GER,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,49.0,5517.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simone Ruffini,ITA,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,49.0,5517.1,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yasunari Hirai,JPN,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,49.0,5517.2,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rob Muffels,GER,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,49.0,5517.3,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tobias Patrick Robinson,GBR,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,49.0,5517.4,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcel Schouten,NED,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,49.0,5518.5,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pepijn Smits,NED,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,49.0,5519.3,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuval Safra,ISR,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,49.0,5519.4,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simon Huitenga,AUS,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,49.0,5519.5,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lachlan Colquhoun,AUS,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,49.0,5519.7,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alberto Martinez,ESP,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,49.0,5519.9,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
