athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,Unnamed: 41
Edoardo Stochino,ITA,02/04/2018,FINA Grand Prix,"Santa Fe, ARG",57.0,NW,Neutral,15.0,27273.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simone Ercoli,ITA,02/04/2018,FINA Grand Prix,"Santa Fe, ARG",57.0,NW,Neutral,15.0,27276.72,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evgenij Pop Acev,MKD,02/04/2018,FINA Grand Prix,"Santa Fe, ARG",57.0,NW,Neutral,15.0,27276.78,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquiles Balaudo,ARG,02/04/2018,FINA Grand Prix,"Santa Fe, ARG",57.0,NW,Neutral,15.0,28035.21,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santiago Enderica,ECU,02/04/2018,FINA Grand Prix,"Santa Fe, ARG",57.0,NW,Neutral,15.0,28035.7,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolas Provenzano,ARG,02/04/2018,FINA Grand Prix,"Santa Fe, ARG",57.0,NW,Neutral,15.0,28187.95,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aleksandar Ilievski,MKD,02/04/2018,FINA Grand Prix,"Santa Fe, ARG",57.0,NW,Neutral,15.0,28278.88,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matias Aguirre,ARG,02/04/2018,FINA Grand Prix,"Santa Fe, ARG",57.0,NW,Neutral,15.0,28858.13,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saleh Mohammad,SYR,02/04/2018,FINA Grand Prix,"Santa Fe, ARG",57.0,NW,Neutral,15.0,30062.39,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fausto Emanuel Brondo,ARG,02/04/2018,FINA Grand Prix,"Santa Fe, ARG",57.0,NW,Neutral,15.0,30505.93,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jose Ignacio Ravagna,ARG,02/04/2018,FINA Grand Prix,"Santa Fe, ARG",57.0,NW,Neutral,15.0,32718.29,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
