athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,Unnamed: 41
Florian Wellbrock,GER,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2655.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferry Weertman,NED,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2667.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rob Muffels,GER,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2667.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logan Fontaine,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2667.4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Aubry,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2668.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marc-Antoine Olivier,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2668.2,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Burnell,GBR,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2668.3,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Brinegar,USA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2668.9,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axel Reymond,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2669.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matteo Furlan,ITA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2669.8,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasquale Sanzullo,ITA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2671.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taylor Abbott,USA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2671.5,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pepijn Smits,NED,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2672.5,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brendan Casey,USA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2672.9,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enzo Roldan Munoz,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2673.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alberto Martinez,ESP,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2674.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diogo Villarinho,BRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2684.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcel Schouten,NED,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2685.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niklas Frach,GER,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2685.2,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pol Gil,ESP,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2686.2,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jean-Baptiste Clusman,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2688.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logan Vanhuys,BEL,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2688.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raul Santiago Betancor,ESP,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2688.1,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcello Guidi,ITA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,108.0,2733.2,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
