athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,Unnamed: 41
Franco Ivo Cassini,ARG,02/09/2019,FINA Grand Prix,"Rosario, ARG",15.0,NW,Neutral,24.0,9124.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joaquin Moreno,ARG,02/09/2019,FINA Grand Prix,"Rosario, ARG",15.0,NW,Neutral,24.0,9130.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simone Ercoli,ITA,02/09/2019,FINA Grand Prix,"Rosario, ARG",15.0,NW,Neutral,24.0,9132.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francesco Ghettini,ITA,02/09/2019,FINA Grand Prix,"Rosario, ARG",15.0,NW,Neutral,24.0,9149.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evgenij Pop Acev,MKD,02/09/2019,FINA Grand Prix,"Rosario, ARG",15.0,NW,Neutral,24.0,9160.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edoardo Stochino,ITA,02/09/2019,FINA Grand Prix,"Rosario, ARG",15.0,NW,Neutral,24.0,9184.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damian Blaum,ARG,02/09/2019,FINA Grand Prix,"Rosario, ARG",15.0,NW,Neutral,24.0,9186.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquiles Balaudo,ARG,02/09/2019,FINA Grand Prix,"Rosario, ARG",15.0,NW,Neutral,24.0,9399.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aleksandar Ilievski,MKD,02/09/2019,FINA Grand Prix,"Rosario, ARG",15.0,NW,Neutral,24.0,9401.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matheus Emerim Evangelista,BRA,02/09/2019,FINA Grand Prix,"Rosario, ARG",15.0,NW,Neutral,24.0,9525.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santiago Petrucci,ARG,02/09/2019,FINA Grand Prix,"Rosario, ARG",15.0,NW,Neutral,24.0,9562.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matias Diaz Hernandez,ARG,02/09/2019,FINA Grand Prix,"Rosario, ARG",15.0,NW,Neutral,24.0,9755.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franco Gamarra,ARG,02/09/2019,FINA Grand Prix,"Rosario, ARG",15.0,NW,Neutral,24.0,10570.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
