athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,Unnamed: 41
David Aubry,FRA,05/23/2019,LEN Cup,"Brive, FRA",10.0,NW,Neutral,111.0,6871.04,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athanasios Kynigakis,GRE,05/23/2019,LEN Cup,"Brive, FRA",10.0,NW,Neutral,111.0,6876.05,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alberto Martinez,ESP,05/23/2019,LEN Cup,"Brive, FRA",10.0,NW,Neutral,111.0,6878.01,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fares Zitouni,FRA,05/23/2019,LEN Cup,"Brive, FRA",10.0,NW,Neutral,111.0,6914.02,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matan Roditi,ISR,05/23/2019,LEN Cup,"Brive, FRA",10.0,NW,Neutral,111.0,6915.09,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clement Batte,FRA,05/23/2019,LEN Cup,"Brive, FRA",10.0,NW,Neutral,111.0,6919.07,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hau-Li Fan,CAN,05/23/2019,LEN Cup,"Brive, FRA",10.0,NW,Neutral,111.0,6920.07,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gergely Gyurta,HUN,05/23/2019,LEN Cup,"Brive, FRA",10.0,NW,Neutral,111.0,6922.02,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logan Vanhuys,BEL,05/23/2019,LEN Cup,"Brive, FRA",10.0,NW,Neutral,111.0,6923.05,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guillem Pujol,ESP,05/23/2019,LEN Cup,"Brive, FRA",10.0,NW,Neutral,111.0,6924.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clement Kukla,FRA,05/23/2019,LEN Cup,"Brive, FRA",10.0,NW,Neutral,111.0,6925.02,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuval Safra,ISR,05/23/2019,LEN Cup,"Brive, FRA",10.0,NW,Neutral,111.0,6925.07,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafael Gil,POR,05/23/2019,LEN Cup,"Brive, FRA",10.0,NW,Neutral,111.0,6926.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pol Gil,ESP,05/23/2019,LEN Cup,"Brive, FRA",10.0,NW,Neutral,111.0,6927.1,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Thomas Mckay,CAN,05/23/2019,LEN Cup,"Brive, FRA",10.0,NW,Neutral,111.0,6940.07,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reilly Kennedy,AUS,05/23/2019,LEN Cup,"Brive, FRA",10.0,NW,Neutral,111.0,6945.07,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolas Masse-Savard,CAN,05/23/2019,LEN Cup,"Brive, FRA",10.0,NW,Neutral,111.0,6950.07,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pepijn Smits,NED,05/23/2019,LEN Cup,"Brive, FRA",10.0,NW,Neutral,111.0,6983.08,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcel Schouten,NED,05/23/2019,LEN Cup,"Brive, FRA",10.0,NW,Neutral,111.0,6987.05,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
