athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,Unnamed: 41
Yohsuke Miyamoto,JPN,06/08/2019,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,21.0,5684.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andreas Waschburger,GER,06/08/2019,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,21.0,5685.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joaquin Moreno,ARG,06/08/2019,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,21.0,5688.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logan Vanhuys,BEL,06/08/2019,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,21.0,5692.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafael Gil,POR,06/08/2019,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,21.0,5721.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcel Schouten,NED,06/08/2019,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,21.0,5767.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fernando Ponte,BRA,06/08/2019,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,21.0,5769.01,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Takeshi Toyoda,JPN,06/08/2019,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,21.0,5772.01,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franco Ivo Cassini,ARG,06/08/2019,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,21.0,5778.01,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandre Finco,BRA,06/08/2019,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,21.0,5786.01,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Delgadillo,MEX,06/08/2019,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,21.0,5787.01,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiago Campos,POR,06/08/2019,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,21.0,5790.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dany Pedro Caille,POR,06/08/2019,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,21.0,5877.01,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igor Chervynskiy,UKR,06/08/2019,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,21.0,5939.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evgenij Pop Acev,MKD,06/08/2019,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,21.0,5979.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diogo Coelho Jose,POR,06/08/2019,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,21.0,6060.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William Rollo,AUS,06/08/2019,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,21.0,6065.01,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fernando Betanzos,MEX,06/08/2019,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,21.0,6065.01,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiki Nonaka,JPN,06/08/2019,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,21.0,6181.01,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saurabh Sangvekar,IND,06/08/2019,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,21.0,6828.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
