athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,Unnamed: 41
Florian Wellbrock,GER,07/15/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,75.0,6475.9,1.0,417.2,581.8,1106.8,1514.9,1675.4,2207.0,2622.2,2779.4,3304.2,3704.0,3857.0,4376.0,4780.0,4935.0,5453.0,5864.0,6020.0,6475.9,,,,,,,,,,,,,
Marc-Antoine Olivier,FRA,07/15/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,75.0,6476.1,2.0,425.1,584.1,1110.7,1517.2,1682.3,2212.6,2621.6,2784.1,3305.7,3704.0,3861.0,4378.0,4782.0,4939.0,5456.0,5864.0,6021.0,6476.1,,,,,,,,,,,,,
Rob Muffels,GER,07/15/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,75.0,6477.4,3.0,421.9,583.1,1107.1,1521.1,1687.5,2211.7,2629.6,2782.3,3305.9,3704.0,3863.0,4376.0,4786.0,4940.0,5455.0,5862.0,6022.0,6477.4,,,,,,,,,,,,,
Kristof Rasovszky,HUN,07/15/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,75.0,6479.5,4.0,422.8,579.6,1106.6,1515.0,1677.4,2211.0,2622.0,2781.5,3309.6,3705.0,3862.0,4379.0,4785.0,4941.0,5456.0,5863.0,6022.0,6479.5,,,,,,,,,,,,,
Jordan Wilimovsky,USA,07/15/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,75.0,6481.0,5.0,433.0,594.9,1111.8,1526.1,1688.6,2214.0,2624.0,2784.5,3314.6,3711.0,3869.0,4381.0,4787.0,4946.0,5458.0,5866.0,6020.0,6481.0,,,,,,,,,,,,,
Gregorio Paltrinieri,ITA,07/15/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,75.0,6481.0,6.0,419.9,581.6,1109.3,1516.3,1677.6,2209.2,2619.7,2777.9,3299.1,3701.0,3857.0,4374.0,4780.0,4937.0,5460.0,5866.0,6027.0,6481.0,,,,,,,,,,,,,
Ferry Weertman,NED,07/15/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,75.0,6481.9,7.0,439.6,607.1,1132.8,1543.5,1704.2,2231.3,2634.3,2791.7,3317.4,3715.0,3867.0,4386.0,4787.0,4942.0,5460.0,5866.0,6025.0,6481.9,,,,,,,,,,,,,
Alberto Martinez,ESP,07/15/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,75.0,6482.2,8.0,438.1,601.3,1126.5,1532.8,1688.8,2219.1,2627.7,2790.5,3325.7,3722.0,3873.0,4391.0,4788.0,4943.0,5461.0,5866.0,6023.0,6482.2,,,,,,,,,,,,,
Mario Sanzullo,ITA,07/15/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,75.0,6484.7,9.0,432.0,,1112.8,1524.2,1687.4,2215.4,2627.9,2788.0,3309.4,3710.0,3867.0,4382.0,4789.0,4947.0,5462.0,5866.0,6028.0,6484.7,,,,,,,,,,,,,
David Aubry,FRA,07/15/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,75.0,6485.1,10.0,425.5,585.2,1107.9,1516.2,1680.9,2209.8,2619.4,2779.9,3300.8,3704.0,3860.0,4380.0,4782.0,4940.0,5459.0,5867.0,6023.0,6485.1,,,,,,,,,,,,,
