athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,Unnamed: 41
Marc-Antoine Olivier,FRA,02/15/2020,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,82.0,6586.6,1.0,1338.6,2662.3,3993.8,5335.8,6586.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Rob Muffels,GER,02/15/2020,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,82.0,6599.2,2.0,1347.6,2669.1,4004.5,5333.8,6599.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Florian Wellbrock,GER,02/15/2020,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,82.0,6599.3,3.0,1330.6,2653.4,3995.2,5339.0,6599.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Fares Zitouni,FRA,02/15/2020,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,82.0,6600.8,4.0,1345.3,2662.2,4004.8,5343.1,6600.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Gregorio Paltrinieri,ITA,02/15/2020,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,82.0,6601.0,5.0,1349.8,2667.3,3994.6,5337.5,6601.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcello Guidi,ITA,02/15/2020,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,82.0,6601.4,6.0,1336.9,2658.6,4007.9,5338.4,6601.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayden Paul Cotter,AUS,02/15/2020,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,82.0,6601.5,7.0,1335.7,2653.8,3996.5,5336.7,6601.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferry Weertman,NED,02/15/2020,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,82.0,6602.6,8.0,1354.8,2669.1,3999.0,5332.7,6602.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Burnell,GBR,02/15/2020,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,82.0,6603.1,9.0,1332.0,2655.8,3999.3,5335.8,6603.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Hector Thomas Cheal Pardoe,GBR,02/15/2020,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,82.0,6603.6,10.0,1341.2,2658.8,4006.3,5338.9,6603.6,,,,,,,,,,,,,,,,,,,,,,,,,,
