athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,Unnamed: 41
Axel Reymond,FRA,05/16/2021,European Championships,"Budapest, HUN",25.0,NW,Neutral,15.0,16559.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matteo Furlan,ITA,05/16/2021,European Championships,"Budapest, HUN",25.0,NW,Neutral,15.0,16565.1,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirill Abrosimov,RUS,05/16/2021,European Championships,"Budapest, HUN",25.0,NW,Neutral,15.0,16566.2,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessio Occhipinti,ITA,05/16/2021,European Championships,"Budapest, HUN",25.0,NW,Neutral,15.0,16572.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lars Bottelier,NED,05/16/2021,European Championships,"Budapest, HUN",25.0,NW,Neutral,15.0,16577.9,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simone Ruffini,ITA,05/16/2021,European Championships,"Budapest, HUN",25.0,NW,Neutral,15.0,16578.1,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruslan Sadykov,RUS,05/16/2021,European Championships,"Budapest, HUN",25.0,NW,Neutral,15.0,16633.4,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peter Galicz,HUN,05/16/2021,European Championships,"Budapest, HUN",25.0,NW,Neutral,15.0,16652.7,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evgenij Pop Acev,MKD,05/16/2021,European Championships,"Budapest, HUN",25.0,NW,Neutral,15.0,16654.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Huszti,HUN,05/16/2021,European Championships,"Budapest, HUN",25.0,NW,Neutral,15.0,16717.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin Straka,CZE,05/16/2021,European Championships,"Budapest, HUN",25.0,NW,Neutral,15.0,16796.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matej Kozubek,CZE,05/16/2021,European Championships,"Budapest, HUN",25.0,NW,Neutral,15.0,16844.9,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niklas Frach,GER,05/16/2021,European Championships,"Budapest, HUN",25.0,NW,Neutral,15.0,17203.6,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
