athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,Unnamed: 41
Florian Wellbrock,GER,09/25/2021,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,32.0,6500.01,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domenico Acerenza,ITA,09/25/2021,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,32.0,6501.08,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gregorio Paltrinieri,ITA,09/25/2021,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,32.0,6507.08,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kristof Rasovszky,HUN,09/25/2021,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,32.0,6520.01,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oliver Klemet,GER,09/25/2021,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,32.0,6521.08,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcel Schouten,NED,09/25/2021,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,32.0,6525.04,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea Manzi,ITA,09/25/2021,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,32.0,6526.07,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dario Verani,ITA,09/25/2021,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,32.0,6529.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Szekelyi,HUN,09/25/2021,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,32.0,6530.09,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marc-Antoine Olivier,FRA,09/25/2021,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,32.0,6539.08,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axel Reymond,FRA,09/25/2021,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,32.0,6578.02,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guillem Pujol,ESP,09/25/2021,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,32.0,6580.04,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Langner,GER,09/25/2021,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,32.0,6582.05,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthieu Magne,FRA,09/25/2021,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,32.0,6589.09,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angel De Oña Ramirez,ESP,09/25/2021,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,32.0,6594.06,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincent Crooijmans,NED,09/25/2021,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,32.0,6608.05,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alejandro Puebla Martinez,ESP,09/25/2021,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,32.0,6631.02,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elliot Sodemann,SWE,09/25/2021,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,32.0,6635.02,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sander Crooijmans,NED,09/25/2021,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,32.0,6696.07,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raul Santiago Betancor,ESP,09/25/2021,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,32.0,6704.09,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pol Gil,ESP,09/25/2021,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,32.0,6825.01,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Garach Benito,ESP,09/25/2021,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,32.0,6885.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Schreiber,SUI,09/25/2021,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,32.0,7155.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rob Muffels,GER,09/25/2021,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,32.0,7271.07,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diogo Cardoso,POR,09/25/2021,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,32.0,7272.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
László Gálicz,HUN,09/25/2021,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,32.0,7299.05,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theo Druenne,MON,09/25/2021,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,32.0,7551.05,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enzo Oumailia,FRA,09/25/2021,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,32.0,7605.03,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
