athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,Unnamed: 41
Sacha Velly,FRA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,6630.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcello Guidi,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,6633.01,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gregorio Paltrinieri,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,6641.01,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domenico Acerenza,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,6642.01,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasquale Sanzullo,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,6642.01,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mario Sanzullo,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,6649.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dario Verani,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,6651.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Betlehem,HUN,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,6654.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axel Reymond,FRA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,6677.01,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tobias Patrick Robinson,GBR,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,6681.01,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kristof Rasovszky,HUN,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,6689.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hector Thomas Cheal Pardoe,GBR,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,6690.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davide Marchello,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,6691.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matteo Furlan,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,6691.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fares Zitouni,FRA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,6696.01,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jean-Baptiste Clusman,FRA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,6700.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabio Dalu,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,6715.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simone Ruffini,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,6717.01,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enzo Roldan Munoz,FRA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,6718.01,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logan Vanhuys,BEL,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,6739.01,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giuseppe Ilario,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,6784.01,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leo Ouabdesselam,FRA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,6810.01,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincenzo Caso,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,6817.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logan Fontaine,FRA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,6835.01,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasquale Giordano,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,6837.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matej Kozubek,CZE,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,6850.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Pinter,HUN,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,6850.01,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akos Kalmar,HUN,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,6851.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivan Giovannoni,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,6851.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexis Vandevelde,FRA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,6851.01,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lars Bottelier,NED,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,6853.01,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clement Kukla,FRA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,6853.01,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaspard Tramier,FRA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,6854.01,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan Hercog,AUT,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,6856.01,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emir Batur Albayrak,TUR,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,6857.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Schreiber,SUI,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,6901.01,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filippo Rinaldi,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,6903.01,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrade Villarinho,BRA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,6907.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthieu Magne,FRA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,6907.01,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessio Sartoretto,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,6908.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandre Verplaetse,FRA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,7033.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niccolo Ricciardi,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,7049.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peter Galicz,HUN,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,7090.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco Inglima,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,7109.01,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burhanettin Hacisagir,TUR,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,7110.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valentin Duteil,FRA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,7111.01,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theo Druenne,MON,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,7113.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiziano Tripodi,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,7114.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniele Titta,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,7115.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yori Lecomte,FRA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,7115.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adib Khalil,LBN,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,7140.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laszlo Galicz,HUN,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,7144.01,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oleksandr Oleksyshyn,UKR,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,7149.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mehmet Efe Yilmaz,TUR,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,7153.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincenzo Del Vecchio,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,7212.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tommaso Griffante,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,7342.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro Gadani,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,7345.01,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clement Mathieu,FRA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,7354.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atakan Ercan,TUR,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,7367.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federico Marchi,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,7368.01,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poyraz San Askin,TUR,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,7373.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simon Barbieux,FRA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,7375.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea Zoppi,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,7378.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmet Efe Soker,TUR,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,7385.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro Addis,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,7400.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea Zanini,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,7424.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmet Ege Guldag,TUR,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,7435.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romaine Pourcel,FRA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,7467.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliot Garoux,FRA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,7468.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giovanni Oriente,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,7471.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rossi Rodolfo Marchetti,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,7472.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giacomo Brogelli,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,7483.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muhammed Yusuf Ozden,TUR,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,7512.0,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batuhan Ecrin Pinar,TUR,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,7522.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danylo Chobanian,UKR,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,7604.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriele Catalano,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,7621.01,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dovukan Ulac,TUR,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,7704.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagatay Alper Ustununal,TUR,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,7755.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas Falla,FRA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,7773.01,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giovanni Filippini,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,7846.01,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eugenio Albini Riccioli,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,7847.01,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maksym Klys,UKR,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,7861.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kimani Bellanger,FRA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,7998.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niccol Lucchi,ITA,05/13/2022,LEN Cup,"Piombino, ITA",10.0,NW,Neutral,93.0,8081.0,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
