athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,Unnamed: 41
Domenico Acerenza,ITA,08/27/2022,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,21.0,6650.83,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicholas Sloman,AUS,08/27/2022,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,21.0,6651.68,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Betlehem,HUN,08/27/2022,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,21.0,6652.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kristof Rasovszky,HUN,08/27/2022,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,21.0,6657.96,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea Manzi,ITA,08/27/2022,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,21.0,6670.15,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matteo Furlan,ITA,08/27/2022,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,21.0,6675.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dario Verani,ITA,08/27/2022,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,21.0,6675.33,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bailey Armstrong,AUS,08/27/2022,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,21.0,6678.05,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logan Vanhuys,BEL,08/27/2022,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,21.0,6678.9,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lars Bottelier,NED,08/27/2022,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,21.0,6679.4,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hau-Li Fan,CAN,08/27/2022,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,21.0,6698.21,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcello Guidi,ITA,08/27/2022,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,21.0,6699.01,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diogo Villarinho,BRA,08/27/2022,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,21.0,6703.1,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcel Schouten,NED,08/27/2022,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,21.0,6730.95,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matias Diaz Hernandez,ARG,08/27/2022,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,21.0,6902.17,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruben Rees,AUS,08/27/2022,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,21.0,6993.17,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liam Clawson-Honeyman,CAN,08/27/2022,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,21.0,7050.18,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raben Severin Dommann,CAN,08/27/2022,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,21.0,7052.25,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Brinegar,USA,08/27/2022,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,21.0,7080.43,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
