athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,Unnamed: 41
Marc-Antoine Olivier,FRA,03/18/2023,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,44.0,6476.2,1.0,1082.9,2187.6,3269.5,4357.7,6476.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Domenico Acerenza,ITA,03/18/2023,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,44.0,6478.5,2.0,1087.8,2182.0,3270.1,4356.0,6478.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcello Guidi,ITA,03/18/2023,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,44.0,6481.1,3.0,1083.1,2188.8,3271.2,4358.5,6481.1,,,,,,,,,,,,,,,,,,,,,,,,,,
David Betlehem,HUN,03/18/2023,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,44.0,6484.7,4.0,1076.3,2180.3,3266.6,4358.4,6484.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Mario Sanzullo,ITA,03/18/2023,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,44.0,6485.2,5.0,1085.2,2185.6,3275.1,4360.0,6485.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicholas Sloman,AUS,03/18/2023,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,44.0,6487.0,6.0,1083.1,2186.0,3270.8,4353.6,6487.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Gregorio Paltrinieri,ITA,03/18/2023,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,44.0,6487.3,7.0,1084.0,2183.0,3263.1,4354.7,6487.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Lee,AUS,03/18/2023,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,44.0,6489.6,8.0,1086.0,2189.4,3274.6,4357.8,6489.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Bailey Armstrong,AUS,03/18/2023,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,44.0,6490.5,9.0,1085.9,2187.4,3273.2,4360.6,6490.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Wilson,AUS,03/18/2023,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,44.0,6494.0,10.0,1089.0,2189.4,3273.7,4365.2,6494.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea Manzi,ITA,03/18/2023,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,44.0,6494.1,11.0,1086.5,2192.3,3274.1,4360.5,6494.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Matteo Furlan,ITA,03/18/2023,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,44.0,6495.8,12.0,1094.5,2195.9,3280.5,4361.1,6495.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Tobias Patrick Robinson,GBR,03/18/2023,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,44.0,6496.5,13.0,1087.2,2188.2,3275.6,4366.0,6496.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Matan Roditi,ISR,03/18/2023,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,44.0,6498.8,14.0,1087.1,2197.8,3279.8,4364.5,6498.8,,,,,,,,,,,,,,,,,,,,,,,,,,
David Aubry,FRA,03/18/2023,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,44.0,6500.4,15.0,1092.4,2196.4,3277.5,4362.4,6500.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert William Bonsall,AUS,03/18/2023,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,44.0,6507.8,16.0,1088.4,2183.6,3270.5,4358.0,6507.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcel Schouten,NED,03/18/2023,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,44.0,6516.5,17.0,1094.3,2196.4,3282.9,4361.4,6516.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Logan Vanhuys,BEL,03/18/2023,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,44.0,6517.4,18.0,1091.0,2190.6,3278.4,4365.7,6517.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Jules Wallart,FRA,03/18/2023,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,44.0,6519.9,19.0,1087.5,2189.3,3274.2,4359.3,6519.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Kai Graeme Edwards,AUS,03/18/2023,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,44.0,6521.0,20.0,1083.9,2188.6,3274.8,4361.5,6521.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea Filadelli,ITA,03/18/2023,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,44.0,6524.4,21.0,1084.6,2186.4,3272.4,4358.5,6524.4,,,,,,,,,,,,,,,,,,,,,,,,,,
