athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,Unnamed: 41
Florian Wellbrock,GER,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,71.0,3238.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gregorio Paltrinieri,ITA,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,71.0,3242.5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domenico Acerenza,ITA,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,71.0,3244.2,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oliver Klemet,GER,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,71.0,3297.2,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Betlehem,HUN,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,71.0,3298.6,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athanasios Kynigakis,GRE,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,71.0,3298.6,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kristof Rasovszky,HUN,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,71.0,3323.9,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Lee,AUS,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,71.0,3332.7,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logan Fontaine,FRA,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,71.0,3333.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacha Velly,FRA,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,71.0,3333.1,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mykhailo Romanchuk,UKR,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,71.0,3337.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Garach Benito,ESP,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,71.0,3374.7,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Wilson,AUS,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,71.0,3384.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logan Vanhuys,BEL,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,71.0,3403.2,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hector Thomas Cheal Pardoe,GBR,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,71.0,3406.5,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
