athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,Unnamed: 41
Domenico Acerenza,ITA,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6306.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicholas Sloman,AUS,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6311.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kristof Rasovszky,HUN,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6315.5,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hector Thomas Cheal Pardoe,GBR,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6316.3,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Betlehem,HUN,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6316.4,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Lee,AUS,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6316.5,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logan Fontaine,FRA,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6316.6,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marc-Antoine Olivier,FRA,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6316.7,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dario Verani,ITA,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6316.9,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcello Guidi,ITA,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6317.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gregorio Paltrinieri,ITA,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6317.2,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bailey Armstrong,AUS,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6317.7,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacha Velly,FRA,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6320.2,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jean-Baptiste Clusman,FRA,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6321.3,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Aubry,FRA,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6321.8,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jules Wallart,FRA,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6321.9,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasquale Sanzullo,ITA,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6324.2,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axel Reymond,FRA,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6326.9,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athanasios Kynigakis,GRE,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6328.5,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florian Wellbrock,GER,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6331.2,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oliver Klemet,GER,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6332.3,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiago Campos,POR,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6337.3,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tobias Patrick Robinson,GBR,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6337.4,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivan Puskovitch,USA,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6340.5,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Wilson,AUS,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6343.3,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea Filadelli,ITA,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6348.9,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert William Bonsall,AUS,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6354.8,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paulo Strehlke Delgado,MEX,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6363.6,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan Hercog,AUT,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6366.5,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mario Sanzullo,ITA,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6368.4,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin Straka,CZE,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6370.7,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Edward Raymond,AUS,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6383.7,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franco Ivo Cassini,ARG,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6384.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guillem Pujol,ESP,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6386.9,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matheus Melecchi,BRA,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6388.3,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcel Schouten,NED,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6389.4,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea Manzi,ITA,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6392.6,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Delgadillo,MEX,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6392.7,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Hughes,GBR,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6395.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Brinegar,USA,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6398.4,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Hedlin,CAN,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6400.2,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joshua Brown,USA,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6400.3,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alejandro Puebla Martinez,ESP,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6403.3,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert George Thorpe,AUS,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6403.6,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernardo Gavioli,BRA,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6406.4,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dylan Gravley,USA,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6420.7,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joey Tepper,USA,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6435.2,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brennan Gravley,USA,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6478.4,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
