date,rank,rating
01/01/2017,2.0,0.0569724884353794
01/02/2017,2.0,0.0569630033185696
01/03/2017,2.0,0.0569534586426339
01/04/2017,2.0,0.0569438538448479
01/05/2017,2.0,0.0569341883553723
01/06/2017,2.0,0.0569244615971404
01/07/2017,2.0,0.0569146729857428
01/08/2017,2.0,0.0569048219293106
01/09/2017,2.0,0.0568949078283946
01/10/2017,3.0,0.0568849300758451
01/11/2017,3.0,0.0568748880566864
01/12/2017,3.0,0.0568647811479904
01/13/2017,3.0,0.0568546087187478
01/14/2017,3.0,0.0568443701297362
01/15/2017,3.0,0.0568340647333858
01/16/2017,3.0,0.0568236918736427
01/17/2017,3.0,0.0568132508858291
01/18/2017,3.0,0.0568027410965009
01/19/2017,3.0,0.0567921618233023
01/20/2017,3.0,0.0567815123748183
01/21/2017,3.0,0.0567707920504229
01/22/2017,3.0,0.0567600001401252
01/23/2017,3.0,0.0567491359244123
01/24/2017,3.0,0.0567381986740884
01/25/2017,3.0,0.0567271876501113
01/26/2017,3.0,0.0567161021034259
01/27/2017,3.0,0.0567049412747924
01/28/2017,3.0,0.0566937043946133
01/29/2017,3.0,0.0566823906827558
01/30/2017,3.0,0.0566709993483697
01/31/2017,3.0,0.0566595295897032
02/01/2017,3.0,0.0566479805939135
02/02/2017,3.0,0.0566363515368741
02/03/2017,3.0,0.0566246415829776
02/04/2017,3.0,0.0554377515981996
02/05/2017,3.0,0.0514391011091585
02/06/2017,3.0,0.0514283796596166
02/07/2017,3.0,0.0514175808586453
02/08/2017,3.0,0.0514067038328658
02/09/2017,3.0,0.0513957476950057
02/10/2017,3.0,0.0513847115436041
02/11/2017,3.0,0.0513735944627077
02/12/2017,3.0,0.0513623955215597
02/13/2017,3.0,0.0513511137742792
02/14/2017,3.0,0.0513397482595316
02/15/2017,3.0,0.0513282980001906
02/16/2017,3.0,0.0513167620029893
02/17/2017,3.0,0.0513051392581626
02/18/2017,3.0,0.0512934287390785
02/19/2017,3.0,0.051281629401859
02/20/2017,3.0,0.0512697401849898
02/21/2017,3.0,0.051257760008919
02/22/2017,3.0,0.0512456877756429
