date,rank,rating
03/31/2019,288.0,0.0004337583264397
04/01/2019,288.0,0.0004337583264397
04/02/2019,288.0,0.0004337583264397
04/03/2019,288.0,0.0004337583264397
04/04/2019,288.0,0.0004337583264397
04/05/2019,288.0,0.0004337583264397
04/06/2019,288.0,0.0004337583264397
04/07/2019,288.0,0.0004337583264397
04/08/2019,288.0,0.0004337583264397
04/09/2019,287.0,0.0004337583264397
04/10/2019,287.0,0.0004337583264397
04/11/2019,287.0,0.0004337583264397
04/12/2019,287.0,0.0004337583264397
04/13/2019,287.0,0.0004337583264397
04/14/2019,287.0,0.0004337583264397
04/15/2019,287.0,0.0004337583264397
04/16/2019,287.0,0.0004337583264397
04/17/2019,287.0,0.0004337583264397
04/18/2019,287.0,0.0004337583264397
04/19/2019,287.0,0.0004337583264397
04/20/2019,287.0,0.0004337583264397
04/21/2019,287.0,0.0004337583264397
04/22/2019,287.0,0.0004337583264397
04/23/2019,287.0,0.0004337583264397
04/24/2019,287.0,0.0004337583264397
04/25/2019,287.0,0.0004337583264397
04/26/2019,287.0,0.0004337583264397
04/27/2019,287.0,0.0004337583264397
04/28/2019,287.0,0.0004337583264397
04/29/2019,287.0,0.0004337583264397
04/30/2019,287.0,0.0004337583264397
05/01/2019,287.0,0.0004337583264397
05/02/2019,287.0,0.0004337583264397
05/03/2019,287.0,0.0004337583264397
05/04/2019,287.0,0.0004337583264397
05/05/2019,287.0,0.0004337583264397
05/06/2019,287.0,0.0004337583264397
05/07/2019,287.0,0.0004337583264397
05/08/2019,287.0,0.0004337583264397
05/09/2019,287.0,0.0004337583264397
05/10/2019,287.0,0.0004337583264397
05/11/2019,287.0,0.0004337583264397
05/12/2019,290.0,0.0004292282133699
05/13/2019,290.0,0.0004292282133699
05/14/2019,290.0,0.0004292282133699
05/15/2019,290.0,0.0004292282133699
05/16/2019,290.0,0.0004292282133699
05/17/2019,290.0,0.0004292282133699
05/18/2019,290.0,0.0004292282133699
05/19/2019,290.0,0.0004292282133699
05/20/2019,290.0,0.0004292282133699
05/21/2019,290.0,0.0004292282133699
05/22/2019,290.0,0.0004292282133699
05/23/2019,326.0,0.000388869452302
05/24/2019,326.0,0.0003888687271659
05/25/2019,326.0,0.000388868105371
05/26/2019,326.0,0.000388867533226
05/27/2019,326.0,0.0003888669957214
05/28/2019,326.0,0.0003888664850284
05/29/2019,326.0,0.0003888659962389
05/30/2019,325.0,0.0003888655259551
05/31/2019,325.0,0.0003888650716721
06/01/2019,325.0,0.0003888646314599
06/02/2019,325.0,0.0003888642037834
06/03/2019,325.0,0.0003888637873901
06/04/2019,325.0,0.000388863381238
06/05/2019,325.0,0.0003888629844461
06/06/2019,325.0,0.0003888625962598
06/07/2019,325.0,0.0003888622160248
06/08/2019,328.0,0.0003860974224516
06/09/2019,328.0,0.0003860970590719
06/10/2019,328.0,0.0003860967020722
06/11/2019,328.0,0.0003860963510542
06/12/2019,328.0,0.0003860960056593
06/13/2019,328.0,0.0003860956655636
06/14/2019,328.0,0.0003860953304728
06/15/2019,329.0,0.0003833696236079
06/16/2019,329.0,0.0003833693000444
06/17/2019,329.0,0.0003833689807157
06/18/2019,329.0,0.0003833686654151
06/19/2019,329.0,0.0003833683539518
06/20/2019,329.0,0.0003833680461485
06/21/2019,329.0,0.000383367741841
06/22/2019,329.0,0.0003833674408759
06/23/2019,329.0,0.0003833671431104
06/24/2019,329.0,0.0003833668484106
06/25/2019,329.0,0.0003833665566513
06/26/2019,329.0,0.0003833662677149
06/27/2019,329.0,0.0003833659814906
06/28/2019,329.0,0.0003833656978744
06/29/2019,342.0,0.0003711396262513
06/30/2019,342.0,0.0003711393564515
07/01/2019,342.0,0.0003711390889068
07/02/2019,342.0,0.0003711388235365
07/03/2019,342.0,0.0003711385602644
07/04/2019,342.0,0.0003711382990179
07/05/2019,342.0,0.0003711380397282
07/06/2019,342.0,0.0003711377823296
07/07/2019,342.0,0.0003711375267597
07/08/2019,342.0,0.0003711372729592
07/09/2019,342.0,0.0003711370208711
07/10/2019,342.0,0.0003711367704414
07/11/2019,342.0,0.0003711365216181
07/12/2019,339.0,0.0003762790402698
07/13/2019,345.0,0.0003686170056947
07/14/2019,345.0,0.0003686167630597
07/15/2019,345.0,0.0003686165218355
07/16/2019,345.0,0.000366131228376
07/17/2019,345.0,0.0003661309914581
07/18/2019,345.0,0.0003661307558216
07/19/2019,345.0,0.0003661305214316
07/20/2019,345.0,0.000366130288252
07/21/2019,350.0,0.0003628663652064
07/22/2019,350.0,0.0003628661345228
07/23/2019,350.0,0.0003628659051063
07/24/2019,350.0,0.0003628656768414
07/25/2019,350.0,0.0003628654496752
07/26/2019,350.0,0.0003628652235673
07/27/2019,350.0,0.0003628650033352
07/28/2019,350.0,0.0003628647792504
07/29/2019,350.0,0.000362864556128
07/30/2019,350.0,0.0003628643339407
07/31/2019,343.0,0.0003711298099794
08/01/2019,343.0,0.0003711295845648
08/02/2019,343.0,0.0003711293600302
08/03/2019,342.0,0.0003702856593997
08/04/2019,342.0,0.0003686099373467
08/05/2019,342.0,0.0003686097168194
08/06/2019,342.0,0.0003686094970782
08/07/2019,342.0,0.0003686092781031
08/08/2019,342.0,0.0003686090598745
08/09/2019,342.0,0.0003686088423737
08/10/2019,342.0,0.0003686086255824
08/11/2019,342.0,0.000368608409483
08/12/2019,342.0,0.0003686081940583
08/13/2019,342.0,0.0003686079792917
08/14/2019,342.0,0.0003686077651669
08/15/2019,342.0,0.0003686075516684
08/16/2019,342.0,0.0003686073387809
08/17/2019,342.0,0.0003686071264895
08/18/2019,342.0,0.0003677748449868
08/19/2019,342.0,0.0003677746343214
08/20/2019,342.0,0.0003677744242087
08/21/2019,342.0,0.0003677742146354
08/22/2019,342.0,0.0003677740055887
08/23/2019,342.0,0.0003677737970559
08/24/2019,342.0,0.0003677735825548
08/25/2019,342.0,0.0003677733749971
08/26/2019,342.0,0.0003677731679175
08/27/2019,342.0,0.0003677729613046
08/28/2019,342.0,0.0003677727551434
08/29/2019,342.0,0.0003677725494305
08/30/2019,342.0,0.0003677723441516
08/31/2019,346.0,0.0003628576084945
09/01/2019,346.0,0.0003628574067901
09/02/2019,346.0,0.0003628572054839
09/03/2019,346.0,0.0003628570045663
09/04/2019,346.0,0.0003628568040279
09/05/2019,346.0,0.0003628566038597
09/06/2019,346.0,0.0003628564040527
09/07/2019,353.0,0.0003580712794434
09/08/2019,353.0,0.0003580710829391
09/09/2019,353.0,0.0003580708867662
09/10/2019,353.0,0.0003580706909166
09/11/2019,353.0,0.0003580704953822
09/12/2019,353.0,0.0003580703001552
09/13/2019,353.0,0.0003580701052282
09/14/2019,353.0,0.0003580699105935
09/15/2019,353.0,0.000358069716244
09/16/2019,353.0,0.0003580695221724
09/17/2019,353.0,0.0003580693283718
09/18/2019,353.0,0.0003580691348354
09/19/2019,353.0,0.0003580689415563
09/20/2019,353.0,0.000358068748528
09/21/2019,353.0,0.0003580685557439
09/22/2019,353.0,0.0003580683631979
09/23/2019,353.0,0.0003580681708835
09/24/2019,353.0,0.0003580679787947
09/25/2019,353.0,0.0003580677869255
09/26/2019,353.0,0.0003580675952699
09/27/2019,353.0,0.0003580674038222
09/28/2019,355.0,0.0003557217941525
09/29/2019,355.0,0.000355721604355
09/30/2019,355.0,0.0003557214147474
10/01/2019,355.0,0.0003557212253242
10/02/2019,355.0,0.0003557210360802
10/03/2019,355.0,0.0003557208470103
10/04/2019,355.0,0.0003557206581093
10/05/2019,355.0,0.0003557204693722
10/06/2019,355.0,0.0003557202807941
10/07/2019,355.0,0.0003557200923702
10/08/2019,355.0,0.0003557199040957
10/09/2019,355.0,0.0003557197159658
10/10/2019,355.0,0.0003557195279761
10/11/2019,355.0,0.0003557193401219
10/12/2019,355.0,0.0003557191523987
10/13/2019,355.0,0.0003557189648022
10/14/2019,355.0,0.0003557187773281
10/15/2019,355.0,0.000355718589972
10/16/2019,355.0,0.0003557184027298
10/17/2019,355.0,0.0003557182155973
10/18/2019,355.0,0.0003557180285705
10/19/2019,355.0,0.0003557178416452
10/20/2019,355.0,0.0003557176548177
10/21/2019,355.0,0.0003557174680839
10/22/2019,355.0,0.00035571728144
10/23/2019,355.0,0.0003557170948822
10/24/2019,355.0,0.0003557169084068
10/25/2019,355.0,0.0003557167220101
10/26/2019,355.0,0.0003557165356885
10/27/2019,355.0,0.0003557163494383
10/28/2019,355.0,0.0003557161632561
10/29/2019,355.0,0.0003557159771384
10/30/2019,355.0,0.0003557157910816
10/31/2019,355.0,0.0003557156050824
11/01/2019,355.0,0.0003557154191375
11/02/2019,355.0,0.0003557152332435
11/03/2019,355.0,0.0003557150473972
11/04/2019,355.0,0.0003557148615954
11/05/2019,355.0,0.0003557146758347
11/06/2019,355.0,0.0003557144901122
11/07/2019,355.0,0.0003557143044247
11/08/2019,355.0,0.0003557141187692
11/09/2019,355.0,0.0003557139331425
11/10/2019,355.0,0.0003557137475417
11/11/2019,355.0,0.0003557135619639
11/12/2019,355.0,0.0003557133764061
11/13/2019,355.0,0.0003557131908654
11/14/2019,350.0,0.0003620367920876
11/15/2019,350.0,0.0003620366032746
11/16/2019,350.0,0.0003620364144704
11/17/2019,350.0,0.0003620362256722
11/18/2019,350.0,0.0003620360368772
11/19/2019,350.0,0.0003620358480827
11/20/2019,350.0,0.0003620356592859
11/21/2019,349.0,0.0003652824253743
11/22/2019,349.0,0.0003652822348715
11/23/2019,349.0,0.0003652820443584
11/24/2019,349.0,0.0003652818538324
11/25/2019,349.0,0.0003652816632907
11/26/2019,349.0,0.0003652814727309
11/27/2019,349.0,0.0003652812821504
11/28/2019,349.0,0.0003652810915466
11/29/2019,349.0,0.0003652809009171
11/30/2019,349.0,0.0003652807102594
12/01/2019,349.0,0.0003652805195711
12/02/2019,349.0,0.0003652803288496
12/03/2019,349.0,0.0003652801380926
12/04/2019,349.0,0.0003652799472977
12/05/2019,349.0,0.0003652797564626
12/06/2019,349.0,0.0003652795655848
12/07/2019,349.0,0.0003652793746622
12/08/2019,349.0,0.0003652791836923
12/09/2019,349.0,0.000365278992673
12/10/2019,349.0,0.0003652788016019
12/11/2019,349.0,0.0003652786104769
12/12/2019,349.0,0.0003652784192957
12/13/2019,349.0,0.0003660990780061
12/14/2019,349.0,0.0003660988862749
12/15/2019,348.0,0.0003707078154637
12/16/2019,348.0,0.0003707071548995
12/17/2019,348.0,0.0003715415067244
12/18/2019,348.0,0.0003715408357603
12/19/2019,347.0,0.0003715401617178
12/20/2019,347.0,0.0003715394844631
12/21/2019,347.0,0.0003715388038546
12/22/2019,347.0,0.0003715381197426
12/23/2019,347.0,0.0003715374319699
12/24/2019,347.0,0.0003715367403722
12/25/2019,347.0,0.0003715360447804
12/26/2019,347.0,0.0003715353450245
12/27/2019,347.0,0.0003715346409419
12/28/2019,347.0,0.0003715339323948
12/29/2019,347.0,0.0003715332193117
12/30/2019,347.0,0.000371532501814
12/31/2019,345.0,0.0003749336865994
01/01/2020,345.0,0.0003749329629458
01/02/2020,345.0,0.0003749322338664
01/03/2020,345.0,0.0003749314989891
01/04/2020,344.0,0.0003749307578934
01/05/2020,344.0,0.0003749300100988
01/06/2020,344.0,0.0003749292550465
01/07/2020,344.0,0.0003749284920652
01/08/2020,344.0,0.0003749277202795
01/09/2020,342.0,0.0003783751166291
01/10/2020,342.0,0.0003783743172695
01/11/2020,342.0,0.0003783735075904
01/12/2020,342.0,0.0003783726865323
01/13/2020,342.0,0.0003783718528773
01/14/2020,342.0,0.0003783710052359
01/15/2020,342.0,0.0003783701420882
01/16/2020,337.0,0.0003818911776284
01/17/2020,337.0,0.0003818902636167
01/18/2020,334.0,0.0003863955657508
01/19/2020,334.0,0.0003863945599684
01/20/2020,334.0,0.0003863935317686
01/21/2020,334.0,0.0003863924821884
01/22/2020,334.0,0.0003863914199746
01/23/2020,334.0,0.000386390416691
01/24/2020,334.0,0.0003863895997922
01/25/2020,334.0,0.0003863887809741
01/26/2020,334.0,0.0003863879601563
01/27/2020,334.0,0.0003863871372314
01/28/2020,334.0,0.000386386312038
01/29/2020,334.0,0.000386385484275
01/30/2020,334.0,0.0003872946937534
01/31/2020,334.0,0.0003872938554822
02/01/2020,334.0,0.0003872930156279
02/02/2020,334.0,0.0003872921742042
02/03/2020,334.0,0.0003872913312416
02/04/2020,334.0,0.0003872904868002
02/05/2020,334.0,0.0003872896409988
02/06/2020,334.0,0.0003872887941073
02/07/2020,331.0,0.0003900390023984
02/08/2020,330.0,0.0003900381426683
02/09/2020,330.0,0.0003900372807837
02/10/2020,330.0,0.0003900364166946
02/11/2020,330.0,0.0003900355503494
02/12/2020,330.0,0.000390034681694
02/13/2020,330.0,0.0003900338106719
02/14/2020,330.0,0.0003900329372241
02/15/2020,336.0,0.0003822621944314
02/16/2020,335.0,0.0003822607369387
02/17/2020,335.0,0.0003822592936182
02/18/2020,335.0,0.0003822578555271
02/19/2020,335.0,0.0003822564201173
02/20/2020,335.0,0.0003822549860233
02/21/2020,335.0,0.0003822535523576
02/22/2020,335.0,0.0003822521184771
02/23/2020,335.0,0.0003822506838805
02/24/2020,335.0,0.0003822492481555
02/25/2020,335.0,0.0003822478109479
02/26/2020,334.0,0.0003822463719421
02/27/2020,334.0,0.0003822449308483
02/28/2020,334.0,0.0003822434873926
02/29/2020,334.0,0.0003822420413089
03/01/2020,334.0,0.0003822405923328
03/02/2020,334.0,0.0003822391401952
03/03/2020,334.0,0.0003822376846152
03/04/2020,334.0,0.0003822362252926
03/05/2020,334.0,0.0003822347618985
03/06/2020,334.0,0.0003822332940618
03/07/2020,334.0,0.0003822318213504
03/08/2020,333.0,0.0003834204136877
03/09/2020,333.0,0.000383420154068
03/10/2020,333.0,0.0003834198292674
03/11/2020,333.0,0.0003834194679066
03/12/2020,333.0,0.0003834190758488
03/13/2020,331.0,0.000386116196093
03/14/2020,331.0,0.0003861157093826
03/15/2020,331.0,0.0003861152078912
03/16/2020,331.0,0.0003861146924159
03/17/2020,331.0,0.0003861141628533
03/18/2020,330.0,0.0003897668458976
03/19/2020,330.0,0.0003897662631749
03/20/2020,330.0,0.0003897656725253
03/21/2020,330.0,0.0003897650744396
03/22/2020,330.0,0.0003897644693374
03/23/2020,330.0,0.000389763857582
03/24/2020,330.0,0.0003897632394904
03/25/2020,330.0,0.000389762615342
03/26/2020,330.0,0.0003897619853846
03/27/2020,330.0,0.0003897613498394
03/28/2020,330.0,0.0003897607089049
03/29/2020,330.0,0.0003897600627605
03/30/2020,330.0,0.0003897594115684
03/31/2020,330.0,0.0003897587554763
04/01/2020,330.0,0.0003897580946194
04/02/2020,330.0,0.0003897574291211
04/03/2020,330.0,0.000389756759095
04/04/2020,330.0,0.000389756084646
04/05/2020,330.0,0.0003897554058707
04/06/2020,330.0,0.0003897547228586
04/07/2020,330.0,0.0003897540356928
04/08/2020,330.0,0.0003897533444506
04/09/2020,330.0,0.0003897526492038
04/10/2020,330.0,0.0003897519500195
04/11/2020,330.0,0.0003897512469604
04/12/2020,330.0,0.000389750540085
04/13/2020,330.0,0.0003897498294483
04/14/2020,330.0,0.0003897491151016
04/15/2020,330.0,0.0003897483970933
04/16/2020,330.0,0.0003897476754687
04/17/2020,330.0,0.0003897469502705
04/18/2020,330.0,0.0003897462215388
04/19/2020,330.0,0.0003897454893113
04/20/2020,330.0,0.0003897447536237
04/21/2020,330.0,0.0003897440145095
04/22/2020,330.0,0.0003897432720004
04/23/2020,330.0,0.0003897425261263
04/24/2020,330.0,0.0003897417769153
04/25/2020,330.0,0.0003897410243941
04/26/2020,330.0,0.0003897402685878
04/27/2020,330.0,0.0003897395095201
04/28/2020,330.0,0.0003897387472135
04/29/2020,330.0,0.0003897379816891
04/30/2020,330.0,0.000389737212967
05/01/2020,330.0,0.0003897364410661
05/02/2020,330.0,0.0003897356660042
05/03/2020,330.0,0.0003897348877981
05/04/2020,330.0,0.0003897341064639
05/05/2020,330.0,0.0003897333220165
05/06/2020,330.0,0.0003897325344701
05/07/2020,330.0,0.000389731743838
05/08/2020,330.0,0.0003897309501329
05/09/2020,330.0,0.0003897301533665
05/10/2020,330.0,0.0003897293535501
05/11/2020,330.0,0.000389728550694
05/12/2020,330.0,0.0003897277448083
05/13/2020,330.0,0.000389726935902
05/14/2020,330.0,0.000389726123984
05/15/2020,330.0,0.0003897253090623
05/16/2020,330.0,0.0003897244911445
05/17/2020,330.0,0.0003897236702377
05/18/2020,330.0,0.0003897228463486
05/19/2020,330.0,0.0003897220194833
05/20/2020,330.0,0.0003897211896475
05/21/2020,330.0,0.0003897203568467
05/22/2020,330.0,0.0003897195210857
05/23/2020,330.0,0.0003897186823691
05/24/2020,330.0,0.0003897178407012
05/25/2020,330.0,0.0003897169960857
05/26/2020,330.0,0.0003897161485264
05/27/2020,330.0,0.0003897152980265
05/28/2020,330.0,0.000389714444589
05/29/2020,330.0,0.0003897135882167
05/30/2020,330.0,0.000389712728912
05/31/2020,330.0,0.0003897118666773
06/01/2020,330.0,0.0003897110015147
06/02/2020,330.0,0.0003897101334262
06/03/2020,330.0,0.0003897092624134
06/04/2020,330.0,0.000389708388478
06/05/2020,329.0,0.0003897075116216
06/06/2020,329.0,0.0003897066318455
06/07/2020,329.0,0.0003897057491511
06/08/2020,329.0,0.0003897048635397
06/09/2020,329.0,0.0003897039750126
06/10/2020,329.0,0.0003897030835711
06/11/2020,329.0,0.0003897021892166
06/12/2020,329.0,0.0003897012919503
06/13/2020,329.0,0.000389700391774
06/14/2020,329.0,0.0003896994886892
06/15/2020,329.0,0.0003896985826979
06/16/2020,329.0,0.0003896976738021
06/17/2020,329.0,0.0003896967620042
06/18/2020,329.0,0.0003896958473071
06/19/2020,329.0,0.0003896949297139
06/20/2020,329.0,0.0003896940092283
06/21/2020,329.0,0.0003896930858546
06/22/2020,329.0,0.0003896921595977
06/23/2020,329.0,0.0003896912304634
06/24/2020,329.0,0.0003896902984584
06/25/2020,329.0,0.0003896893635905
06/26/2020,329.0,0.0003896884258687
06/27/2020,328.0,0.0003896874853038
06/28/2020,328.0,0.000389686541908
06/29/2020,328.0,0.000389685595696
06/30/2020,328.0,0.000389684646685
07/01/2020,328.0,0.0003896836948951
07/02/2020,328.0,0.0003896827403508
07/03/2020,328.0,0.0003896817830808
07/04/2020,328.0,0.0003896808231202
07/05/2020,328.0,0.0003896798605117
07/06/2020,328.0,0.0003896788953064
07/07/2020,328.0,0.0003896779275629
07/08/2020,328.0,0.0003896769573207
07/09/2020,328.0,0.0003896759837942
07/10/2020,328.0,0.000391520306178
07/11/2020,328.0,0.0003915193353668
07/12/2020,328.0,0.000391518361747
07/13/2020,328.0,0.0003915173853049
07/14/2020,328.0,0.0003915164060261
07/15/2020,328.0,0.0003915154238948
07/16/2020,328.0,0.0003915144388939
07/17/2020,328.0,0.0003915134510052
07/18/2020,327.0,0.0003915124602084
07/19/2020,327.0,0.0003915114664817
07/20/2020,327.0,0.0003915104698011
07/21/2020,327.0,0.0003915094701401
07/22/2020,327.0,0.0003915084674694
07/23/2020,327.0,0.0003915074617568
07/24/2020,327.0,0.0003915064529661
07/25/2020,327.0,0.0003915054410567
07/26/2020,327.0,0.0003915044259831
07/27/2020,327.0,0.0003915034076936
07/28/2020,327.0,0.0003915023861293
07/29/2020,327.0,0.0003915013612228
07/30/2020,327.0,0.0003915003328961
07/31/2020,327.0,0.0003914993010588
08/01/2020,327.0,0.0003914982656045
08/02/2020,328.0,0.0003914972264077
08/03/2020,328.0,0.0003914961833179
08/04/2020,328.0,0.0003914951361533
08/05/2020,328.0,0.0003914940846906
08/06/2020,328.0,0.000391493028651
08/07/2020,328.0,0.0003914919676784
08/08/2020,328.0,0.0003914909013045
08/09/2020,328.0,0.0003914898288893
08/10/2020,328.0,0.0003914887495034
08/11/2020,328.0,0.000391487661661
08/12/2020,328.0,0.0003914865624863
08/13/2020,326.0,0.00039619761347
08/14/2020,326.0,0.0003961964283938
08/15/2020,326.0,0.000396195239975
08/16/2020,326.0,0.0003961940481938
08/17/2020,326.0,0.000396192853029
08/18/2020,326.0,0.000396191654457
08/19/2020,326.0,0.0003961904524518
08/20/2020,326.0,0.0003961892469842
08/21/2020,326.0,0.0003961880380201
08/22/2020,326.0,0.0003961868255195
08/23/2020,326.0,0.0003961856094332
08/24/2020,326.0,0.0003961843896978
08/25/2020,326.0,0.0003961831662259
08/26/2020,325.0,0.0003961819388831
08/27/2020,325.0,0.0003961807074148
08/28/2020,323.0,0.0003990588776301
08/29/2020,323.0,0.0003990576236097
08/30/2020,323.0,0.0003990563662331
08/31/2020,323.0,0.0003990551054907
09/01/2020,323.0,0.000399053841373
09/02/2020,323.0,0.0003990525738705
09/03/2020,323.0,0.0003990513029734
09/04/2020,323.0,0.0003990500286721
09/05/2020,323.0,0.0003990487509569
09/06/2020,323.0,0.0003990474698179
09/07/2020,323.0,0.0003990461852453
09/08/2020,323.0,0.0003990448972292
09/09/2020,323.0,0.0003990436057596
09/10/2020,323.0,0.0003990423108265
09/11/2020,323.0,0.0003990410124199
09/12/2020,323.0,0.0003990397105297
09/13/2020,323.0,0.0003990384051457
09/14/2020,323.0,0.0003990370962578
09/15/2020,323.0,0.0003990357838556
09/16/2020,323.0,0.0003990344679289
09/17/2020,323.0,0.0003990331484675
09/18/2020,323.0,0.0003990318254609
09/19/2020,323.0,0.0003990304988987
09/20/2020,323.0,0.0003990291687705
