name,pagerank,rank
Ana Marcela Cunha,0.0780605736268945,1
Rachele Bruni,0.05960760993628825,2
Arianna Bridi,0.05484439822867021,3
Haley Anderson,0.04344441952427779,4
Leonie Beck,0.03726460111124114,5
Sharon Van Rouwendaal,0.03366818116248128,6
Finnia Wunram,0.0323883768589125,7
Kareena Lee,0.030668138217875434,8
Xin Xin,0.03050191744381166,9
Aurelie Muller,0.024176749227559104,10
Lara Grangeon De Villele,0.023776551027694052,11
Giulia Gabbrielleschi,0.01984270064891673,12
Samantha Arevalo,0.017577623008884682,13
Ashley Twichell,0.01701528905990131,14
Anna Olasz,0.015105424998336725,15
Angelica Andre,0.014892003214821361,16
Esmee Vermeulen,0.013944377192018567,17
Viviane Jungblut,0.01268131834454482,18
Chelsea Gubecka,0.011393677687521404,19
Martina De Memme,0.011281094894553253,20
Paula Ruiz Bravo,0.009588989887858298,21
Yawen Hou,0.008449608282991506,22
Hannah Moore,0.008258031653299741,23
Lea Boy,0.007299695540765049,24
Oceane Cassignol,0.006555107414877707,25
Angela Maurer,0.006442477187501668,26
Danielle Huskisson,0.006237443367685788,27
Alice Dearing,0.005895292408565732,28
Reka Rohacs,0.005880992372395586,29
Yukimi Moriyama,0.005527597253706989,30
Yumi Kida,0.005480285150659305,31
Alena Benesova,0.0053555087566487716,32
Chloe Gubecka,0.00522097857202249,33
Maria De Valdes,0.004902585043552928,34
Onon Katalin Somenek,0.004895120292340125,35
Anastasiia Krapivina,0.0047167447022860905,36
Mackenzie Brazier,0.004634486853857162,37
Spela Perse,0.0042776582193610364,38
Svenja Zihsler,0.004200792776438794,39
Barbara Pozzobon,0.0041362376991369194,40
Sarah Bosslet,0.003971746146797014,41
Fuwei Dong,0.003941201616837626,42
Kalliopi Araouzou,0.003903332173977893,43
Caroline Laure Jouisse,0.00375044593876185,44
Lisa Pou,0.003648499861726607,45
Minami Niikura,0.0036412622387081033,46
Erica Sullivan,0.003599492129349389,47
Ginevra Taddeucci,0.003368650653198263,48
Katy Campbell,0.003083062611476101,49
Cecilia Biagioli,0.00303978337630625,50
