athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Giulia Gabbrielleschi,ITA,08/06/2016,LEN Cup,"Navia, ESP",7.5,NW,Neutral,14.0,5744.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilaria Raimondi,ITA,08/06/2016,LEN Cup,"Navia, ESP",7.5,NW,Neutral,14.0,5746.5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finnia Wunram,GER,08/06/2016,LEN Cup,"Navia, ESP",7.5,NW,Neutral,14.0,5747.6,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paula Ruiz Bravo,ESP,08/06/2016,LEN Cup,"Navia, ESP",7.5,NW,Neutral,14.0,5850.5,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarah Bosslet,GER,08/06/2016,LEN Cup,"Navia, ESP",7.5,NW,Neutral,14.0,5968.7,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbara Pozzobon,ITA,08/06/2016,LEN Cup,"Navia, ESP",7.5,NW,Neutral,14.0,5974.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adeline Furst,FRA,08/06/2016,LEN Cup,"Navia, ESP",7.5,NW,Neutral,14.0,6199.6,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maria Romero,ESP,08/06/2016,LEN Cup,"Navia, ESP",7.5,NW,Neutral,14.0,6203.1,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alba Romero,ESP,08/06/2016,LEN Cup,"Navia, ESP",7.5,NW,Neutral,14.0,6205.6,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agueda Cons,ESP,08/06/2016,LEN Cup,"Navia, ESP",7.5,NW,Neutral,14.0,6444.5,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paula Goyanes,ESP,08/06/2016,LEN Cup,"Navia, ESP",7.5,NW,Neutral,14.0,6671.01,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Judith Navarro Silvestre,ESP,08/06/2016,LEN Cup,"Navia, ESP",7.5,NW,Neutral,14.0,6920.01,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franzi Heinrich,GER,08/06/2016,LEN Cup,"Navia, ESP",7.5,NW,Neutral,14.0,6967.5,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claudia Giralt Pidemont,ESP,08/06/2016,LEN Cup,"Navia, ESP",7.5,NW,Neutral,14.0,7556.2,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
