athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Pilar Geijo,ARG,09/04/2016,FINA Grand Prix,"Capri-Napoli, ITA",36.0,NW,Neutral,12.0,24394.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olga Kozydub,RUS,09/04/2016,FINA Grand Prix,"Capri-Napoli, ITA",36.0,NW,Neutral,12.0,24457.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilaria Raimondi,ITA,09/04/2016,FINA Grand Prix,"Capri-Napoli, ITA",36.0,NW,Neutral,12.0,24604.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anna Mankevich,RUS,09/04/2016,FINA Grand Prix,"Capri-Napoli, ITA",36.0,NW,Neutral,12.0,25068.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daria Kulik,RUS,09/04/2016,FINA Grand Prix,"Capri-Napoli, ITA",36.0,NW,Neutral,12.0,25080.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvie Rybarova,CZE,09/04/2016,FINA Grand Prix,"Capri-Napoli, ITA",36.0,NW,Neutral,12.0,25088.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vicenia Navarro,VEN,09/04/2016,FINA Grand Prix,"Capri-Napoli, ITA",36.0,NW,Neutral,12.0,27463.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dina Levacic,CRO,09/04/2016,FINA Grand Prix,"Capri-Napoli, ITA",36.0,NW,Neutral,12.0,27601.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rita Vanesa Garcia,ARG,09/04/2016,FINA Grand Prix,"Capri-Napoli, ITA",36.0,NW,Neutral,12.0,28536.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elena Lionello,ITA,09/04/2016,FINA Grand Prix,"Capri-Napoli, ITA",36.0,NW,Neutral,12.0,28592.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victoria Mori,ARG,09/04/2016,FINA Grand Prix,"Capri-Napoli, ITA",36.0,NW,Neutral,12.0,29038.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
