athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Arianna Bridi,ITA,02/04/2017,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,19.0,7890.42,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rachele Bruni,ITA,02/04/2017,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,19.0,7933.54,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poliana Okimoto Cintra,BRA,02/04/2017,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,19.0,7933.54,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarah Bosslet,GER,02/04/2017,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,19.0,7935.71,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana Marcela Cunha,BRA,02/04/2017,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,19.0,7938.11,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceane Cassignol,FRA,02/04/2017,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,19.0,7944.98,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samantha Arevalo,ECU,02/04/2017,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,19.0,7951.24,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yumi Kida,JPN,02/04/2017,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,19.0,7951.57,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cecilia Biagioli,ARG,02/04/2017,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,19.0,7954.48,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angelica Andre,POR,02/04/2017,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,19.0,7982.62,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adeline Furst,FRA,02/04/2017,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,19.0,8001.71,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julia Arino,ARG,02/04/2017,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,19.0,8137.73,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayte Puca,ARG,02/04/2017,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,19.0,8198.65,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betina Lorscheitter,BRA,02/04/2017,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,19.0,8240.98,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgane Dornic,FRA,02/04/2017,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,19.0,8245.02,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vania Neves,POR,02/04/2017,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,19.0,8260.19,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nataly Caldas Calle,ECU,02/04/2017,FINA World Cup,"Viedma, ARG",10.0,NW,Neutral,19.0,8285.52,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
