athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Aurelie Muller,FRA,03/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,54.0,6755.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharon Van Rouwendaal,NED,03/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,54.0,6755.4,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arianna Bridi,ITA,03/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,54.0,6755.6,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finnia Wunram,GER,03/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,54.0,6757.2,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chelsea Gubecka,AUS,03/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,54.0,6757.3,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rachele Bruni,ITA,03/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,54.0,6757.3,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceane Cassignol,FRA,03/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,54.0,6758.5,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anastasiia Krapivina,RUS,03/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,54.0,6760.5,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giulia Gabbrielleschi,ITA,03/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,54.0,6763.7,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haley Anderson,USA,03/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,54.0,6781.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kareena Lee,AUS,03/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,54.0,6791.3,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana Marcela Cunha,BRA,03/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,54.0,6794.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samantha Arevalo,ECU,03/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,54.0,6825.5,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angela Maurer,GER,03/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,54.0,6827.9,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yukimi Moriyama,JPN,03/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,54.0,6830.5,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alice Dearing,GBR,03/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,54.0,6838.1,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esmee Vermeulen,NED,03/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,54.0,6838.3,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yumi Kida,JPN,03/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,54.0,6840.6,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
