athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Ana Marcela Cunha,BRA,07/21/2017,FINA World Championships,"Budapest, HUN",25.0,NW,Neutral,21.0,19318.4,1.0,823.2,1212.2,2068.0,2866.7,3244.6,4082.0,4814.0,5203.0,6047.0,6769.0,7114.0,7927.0,8727.0,9121.0,10034.0,10846.0,,12026.0,12743.0,13072.0,13821.0,14512.0,14843.0,15600.0,16301.0,16656.0,17473.0,18222.0,18588.0,19318.4
Sharon Van Rouwendaal,NED,07/21/2017,FINA World Championships,"Budapest, HUN",25.0,NW,Neutral,21.0,19320.8,2.0,829.6,1212.9,2061.5,2859.0,3244.1,4071.0,4811.0,5197.0,6038.0,6735.0,7090.0,7923.0,8718.0,9117.0,10022.0,10838.0,11226.0,12009.0,12726.0,13066.0,13814.0,14500.0,14830.0,15591.0,16301.0,16659.0,17475.0,18213.0,18581.0,19320.8
Arianna Bridi,ITA,07/21/2017,FINA World Championships,"Budapest, HUN",25.0,NW,Neutral,21.0,19328.2,3.0,838.4,1210.4,2068.2,2867.3,3253.4,4088.0,4814.0,5201.0,6063.0,6817.0,7174.0,7971.0,8729.0,9121.0,10031.0,10850.0,11229.0,12011.0,12730.0,13066.0,13816.0,14506.0,14843.0,15597.0,16303.0,16658.0,17474.0,18219.0,18585.0,19328.2
Martina Grimaldi,ITA,07/21/2017,FINA World Championships,"Budapest, HUN",25.0,NW,Neutral,21.0,19434.6,4.0,826.9,1206.3,2053.5,2849.2,3238.4,4063.0,4807.0,5195.0,6023.0,6734.0,7080.0,7924.0,8709.0,9111.0,10021.0,10846.0,11257.0,12014.0,12728.0,13070.0,13819.0,14516.0,14850.0,15625.0,16386.0,16762.0,17576.0,18339.0,18715.0,19434.6
Anna Olasz,HUN,07/21/2017,FINA World Championships,"Budapest, HUN",25.0,NW,Neutral,21.0,19435.0,5.0,823.8,1199.9,2057.1,2848.2,3236.4,4065.0,4805.0,5191.0,6021.0,6736.0,7083.0,7925.0,8713.0,9115.0,10027.0,10841.0,11238.0,12021.0,12744.0,13074.0,13819.0,14512.0,14850.0,15626.0,16386.0,16767.0,17578.0,18335.0,18710.0,19435.0
Anastasiia Krapivina,RUS,07/21/2017,FINA World Championships,"Budapest, HUN",25.0,NW,Neutral,21.0,19443.7,6.0,834.8,1207.2,2059.6,2859.1,3244.5,4066.0,4810.0,5194.0,6036.0,6746.0,7086.0,7923.0,8711.0,9114.0,10019.0,10836.0,11223.0,12014.0,12728.0,13076.0,13830.0,14531.0,14876.0,15678.0,16423.0,16787.0,17577.0,18341.0,18714.0,19443.7
Becca Mann,USA,07/21/2017,FINA World Championships,"Budapest, HUN",25.0,NW,Neutral,21.0,19626.9,7.0,831.4,1202.5,2058.9,2852.1,3233.1,4064.0,4809.0,5198.0,6034.0,6737.0,7083.0,7926.0,8713.0,9114.0,10024.0,10838.0,11234.0,12018.0,12732.0,13071.0,13824.0,14529.0,14888.0,15690.0,16440.0,16819.0,17674.0,18481.0,18871.0,19626.9
Aurelie Muller,FRA,07/21/2017,FINA World Championships,"Budapest, HUN",25.0,NW,Neutral,21.0,19705.3,8.0,818.4,1196.2,2051.4,2845.0,3232.0,4059.0,4804.0,5197.0,6010.0,6726.0,7073.0,7930.0,8713.0,9117.0,10022.0,10842.0,11220.0,12004.0,12721.0,13064.0,13833.0,14562.0,14951.0,15838.0,16607.0,16991.0,17836.0,18587.0,18965.0,19705.3
Chelsea Gubecka,AUS,07/21/2017,FINA World Championships,"Budapest, HUN",25.0,NW,Neutral,21.0,19721.6,9.0,832.3,1207.3,2057.7,2857.2,3237.7,4083.0,4816.0,5194.0,6059.0,6811.0,7169.0,7973.0,8724.0,9117.0,10029.0,10843.0,11229.0,12030.0,12745.0,13081.0,13830.0,14532.0,14887.0,15700.0,16482.0,16873.0,17745.0,18541.0,18940.0,19721.6
Cathryn Salladin,USA,07/21/2017,FINA World Championships,"Budapest, HUN",25.0,NW,Neutral,21.0,19789.7,10.0,827.8,1207.6,2070.1,2857.8,3241.6,4084.0,4806.0,5198.0,6045.0,6775.0,7122.0,7937.0,8719.0,9118.0,10022.0,10841.0,11227.0,12027.0,12739.0,13075.0,13829.0,14575.0,14962.0,15824.0,16602.0,16985.0,17822.0,18615.0,19012.0,19789.7
