athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Haley Anderson,USA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,3330.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana Marcela Cunha,BRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,3332.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashley Twichell,USA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,3332.6,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arianna Bridi,ITA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,3333.8,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angelica Andre,POR,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,3335.5,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esmee Vermeulen,NED,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,3335.7,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharon Van Rouwendaal,NED,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,3343.9,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbara Pozzobon,ITA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,3344.1,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hannah Moore,USA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,3345.7,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lara Grangeon De Villele,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,3346.5,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alice Dearing,GBR,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,3348.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olga Kozydub,RUS,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,3351.5,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Travis,USA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,3351.8,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lisa Pou,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,3352.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veronica Santoni,ITA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,3355.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rachele Bruni,ITA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,3356.3,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maria De Valdes,ESP,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,3358.6,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Katy Campbell,USA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,3358.6,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melinda Novoszath,HUN,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,3384.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onon Katalin Somenek,HUN,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,3388.1,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alena Benesova,CZE,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,3391.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalliopi Araouzou,GRE,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,3407.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
