athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Haley Anderson,USA,06/09/2018,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,37.0,7518.89,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharon Van Rouwendaal,NED,06/09/2018,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,37.0,7520.26,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kareena Lee,AUS,06/09/2018,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,37.0,7522.25,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finnia Wunram,GER,06/09/2018,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,37.0,7527.87,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rachele Bruni,ITA,06/09/2018,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,37.0,7550.23,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leonie Beck,GER,06/09/2018,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,37.0,7550.75,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana Marcela Cunha,BRA,06/09/2018,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,37.0,7555.19,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angela Maurer,GER,06/09/2018,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,37.0,7564.7,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giulia Gabbrielleschi,ITA,06/09/2018,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,37.0,7581.45,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Travis,USA,06/09/2018,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,37.0,7617.08,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anna Olasz,HUN,06/09/2018,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,37.0,7619.72,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xin Xin,CHN,06/09/2018,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,37.0,7626.57,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esmee Vermeulen,NED,06/09/2018,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,37.0,7628.56,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arianna Bridi,ITA,06/09/2018,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,37.0,7629.07,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Svenja Zihsler,GER,06/09/2018,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,37.0,7633.5,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samantha Arevalo,ECU,06/09/2018,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,37.0,7745.53,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarah Bosslet,GER,06/09/2018,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,37.0,7689.62,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lea Boy,GER,06/09/2018,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,37.0,7714.15,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martina Grimaldi,ITA,06/09/2018,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,37.0,7714.28,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viviane Jungblut,BRA,06/09/2018,FINA World Cup,"Setubal, POR",10.0,NW,Neutral,37.0,7719.11,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
