athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Lara Grangeon De Villele,FRA,03/31/2019,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,51.0,7169.04,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurelie Muller,FRA,03/31/2019,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,51.0,7169.99,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceane Cassignol,FRA,03/31/2019,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,51.0,7171.03,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eva Fabian,ISR,03/31/2019,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,51.0,7180.01,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danielle Huskisson,GBR,03/31/2019,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,51.0,7199.02,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbara Pozzobon,ITA,03/31/2019,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,51.0,7316.96,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sofia Kolesnikova,RUS,03/31/2019,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,51.0,7319.03,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valeriia Ermakova,RUS,03/31/2019,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,51.0,7319.03,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spela Perse,SLO,03/31/2019,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,51.0,7319.03,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alice Dearing,GBR,03/31/2019,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,51.0,7321.02,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anastasia Basalduk,RUS,03/31/2019,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,51.0,7321.97,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ekaterina Sorokina,RUS,03/31/2019,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,51.0,7326.98,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yana Kurtseva,RUS,03/31/2019,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,51.0,7500.04,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serena Stel,NED,03/31/2019,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,51.0,7563.02,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maria Babkina,RUS,03/31/2019,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,51.0,7574.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
