athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Ana Marcela Cunha,BRA,06/15/2019,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,44.0,7125.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arianna Bridi,ITA,06/15/2019,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,44.0,7126.2,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leonie Beck,GER,06/15/2019,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,44.0,7126.8,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haley Anderson,USA,06/15/2019,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,44.0,7128.8,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esmee Vermeulen,NED,06/15/2019,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,44.0,7130.3,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lea Boy,GER,06/15/2019,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,44.0,7130.9,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rachele Bruni,ITA,06/15/2019,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,44.0,7133.1,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reka Rohacs,HUN,06/15/2019,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,44.0,7133.6,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minami Niikura,JPN,06/15/2019,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,44.0,7133.7,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angelica Andre,POR,06/15/2019,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,44.0,7135.1,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalliopi Araouzou,GRE,06/15/2019,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,44.0,7135.6,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yumi Kida,JPN,06/15/2019,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,44.0,7136.1,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cecilia Biagioli,ARG,06/15/2019,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,44.0,7136.4,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anna Olasz,HUN,06/15/2019,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,44.0,7142.8,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
