athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Ginevra Taddeucci,ITA,06/29/2019,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,45.0,7470.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvia Ciccarella,ITA,06/29/2019,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,45.0,7472.01,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ellen Olsson,SWE,06/29/2019,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,45.0,7480.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madelon Catteau,FRA,06/29/2019,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,45.0,7483.01,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laura Rodriguez Santaularia,ESP,06/29/2019,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,45.0,7489.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emily Clarke,GBR,06/29/2019,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,45.0,7489.01,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alena Benesova,CZE,06/29/2019,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,45.0,7490.01,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenka Sterbova,CZE,06/29/2019,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,45.0,7492.01,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helvina Huet,FRA,06/29/2019,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,45.0,7493.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Janka Juhasz,HUN,06/29/2019,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,45.0,7533.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivien Balogh,HUN,06/29/2019,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,45.0,7581.01,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serena Stel,NED,06/29/2019,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,45.0,7593.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celia Heurtaux,FRA,06/29/2019,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,45.0,7599.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie Zubalikova,CZE,06/29/2019,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,45.0,7603.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nolwenn Nunes,FRA,06/29/2019,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,45.0,7603.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea Dominguez Casabella,ESP,06/29/2019,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,45.0,7603.01,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emma Calvo,FRA,06/29/2019,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,45.0,7623.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julie Pleskotova,CZE,06/29/2019,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,45.0,7647.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgane Dornic,FRA,06/29/2019,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,45.0,7647.01,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aroa Silva Fidalgo,ESP,06/29/2019,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,45.0,7704.01,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claudia Giralt Pidemont,ESP,06/29/2019,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,45.0,7769.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carla Goyanes Garcia,ESP,06/29/2019,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,45.0,7780.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nora Naessens,BEL,06/29/2019,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,45.0,7783.01,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candela Sanchez Lora,ESP,06/29/2019,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,45.0,7815.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claire Six,FRA,06/29/2019,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,45.0,7816.01,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reka Fehervari,HUN,06/29/2019,LEN Cup,"Barcelona, ESP",10.0,NW,Neutral,45.0,7834.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
