athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Xin Xin,CHN,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,6887.2,1.0,473.6,649.2,1203.8,1642.5,1809.0,2371.3,2817.7,2984.9,3556.3,3999.0,4169.0,4702.0,5141.0,5300.0,5831.0,6259.0,6419.0,6887.0,,,,,,,,,,,,
Haley Anderson,USA,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,6888.1,2.0,460.8,621.0,1182.3,1619.2,1784.4,2350.9,2805.6,2970.7,3543.2,3981.0,4142.0,4697.0,5134.0,5292.0,5837.0,,6418.0,6888.0,,,,,,,,,,,,
Rachele Bruni,ITA,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,6889.9,3.0,468.0,632.4,1188.8,1630.1,1794.8,2366.2,2819.9,2986.8,3550.4,3990.0,,4700.0,5137.0,5298.0,5835.0,6265.0,6421.0,6890.0,,,,,,,,,,,,
Lara Grangeon De Villele,FRA,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,6890.0,4.0,450.7,613.0,1173.2,1618.8,1780.5,2352.0,2805.7,2971.3,3538.5,3980.0,4140.0,4689.0,5129.0,5284.0,5828.0,6261.0,6417.0,6890.0,,,,,,,,,,,,
Ana Marcela Cunha,BRA,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,6890.5,5.0,453.6,617.2,1172.7,1619.8,1784.6,2352.8,2806.4,2971.7,3542.2,3984.0,4149.0,4696.0,5132.0,5294.0,5830.0,6261.0,6420.0,6891.0,,,,,,,,,,,,
Ashley Twichell,USA,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,6890.5,6.0,458.9,618.4,1174.2,1618.5,1783.9,2364.3,2811.5,2976.3,3545.7,3986.0,4144.0,4693.0,5130.0,5292.0,5832.0,6265.0,6425.0,6891.0,,,,,,,,,,,,
Kareena Lee,AUS,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,6890.5,7.0,453.5,617.5,1178.2,1621.1,1782.4,2357.1,2807.1,2978.2,3541.7,3984.0,4148.0,4697.0,5131.0,5292.0,5833.0,6263.0,6422.0,6891.0,,,,,,,,,,,,
Finnia Wunram,GER,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,6890.7,8.0,,614.1,1175.1,1619.1,1781.9,2350.6,2806.7,2968.7,3541.7,3983.0,4144.0,4694.0,5130.0,5288.0,5829.0,6264.0,6420.0,6891.0,,,,,,,,,,,,
Leonie Beck,GER,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,6891.0,9.0,457.6,,1185.1,,1781.9,2356.5,2808.6,2976.3,3544.4,3985.0,4150.0,4695.0,5133.0,5291.0,5838.0,6266.0,6424.0,6891.0,,,,,,,,,,,,
Sharon Van Rouwendaal,NED,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,6891.1,10.0,457.5,617.1,1179.3,,1785.1,2358.6,2809.6,2977.2,3546.3,3989.0,4150.0,4699.0,5135.0,5295.0,5841.0,6267.0,6425.0,6891.0,,,,,,,,,,,,
Aurelie Muller,FRA,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,6891.2,11.0,452.6,614.8,1177.7,1620.7,1783.4,2358.6,2807.4,2974.5,3543.4,3982.0,4143.0,4689.0,5127.0,5287.0,5825.0,6258.0,6416.0,6891.0,,,,,,,,,,,,
Viviane Jungblut,BRA,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,6891.9,12.0,462.0,627.5,1185.5,1628.3,1788.5,2363.8,2811.0,2976.4,3548.4,3986.0,4145.0,4703.0,5132.0,5296.0,5834.0,6265.0,6424.0,6892.0,,,,,,,,,,,,
Arianna Bridi,ITA,07/13/2019,FINA World Championships,"Gwangju, KOR",10.0,NW,Neutral,64.0,6892.0,13.0,474.5,641.0,1192.1,1630.4,1797.3,2366.1,2816.2,2981.8,3547.3,3983.0,4147.0,4697.0,5128.0,5290.0,5832.0,6263.0,6419.0,6892.0,,,,,,,,,,,,
