athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Leonie Beck,GER,08/31/2019,LEN Cup,"Copenhagen, DEN",6.0,NW,Neutral,14.0,4403.98,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hannah Moore,USA,08/31/2019,LEN Cup,"Copenhagen, DEN",6.0,NW,Neutral,14.0,4426.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lea Boy,GER,08/31/2019,LEN Cup,"Copenhagen, DEN",6.0,NW,Neutral,14.0,4435.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeannette Spiwoks,GER,08/31/2019,LEN Cup,"Copenhagen, DEN",6.0,NW,Neutral,14.0,4450.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mariia Novikova,RUS,08/31/2019,LEN Cup,"Copenhagen, DEN",6.0,NW,Neutral,14.0,4475.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maria Babkina,RUS,08/31/2019,LEN Cup,"Copenhagen, DEN",6.0,NW,Neutral,14.0,4475.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daria Volobueva,RUS,08/31/2019,LEN Cup,"Copenhagen, DEN",6.0,NW,Neutral,14.0,4476.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elea Linka,GER,08/31/2019,LEN Cup,"Copenhagen, DEN",6.0,NW,Neutral,14.0,4480.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laerke Toft Ruby,DEN,08/31/2019,LEN Cup,"Copenhagen, DEN",6.0,NW,Neutral,14.0,4547.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anna Brendstrup,DEN,08/31/2019,LEN Cup,"Copenhagen, DEN",6.0,NW,Neutral,14.0,4585.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephanie Houtman,RSA,08/31/2019,LEN Cup,"Copenhagen, DEN",6.0,NW,Neutral,14.0,4591.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine Francis Van Rensburg,RSA,08/31/2019,LEN Cup,"Copenhagen, DEN",6.0,NW,Neutral,14.0,4815.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarlett Botes,RSA,08/31/2019,LEN Cup,"Copenhagen, DEN",6.0,NW,Neutral,14.0,5359.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megan De Wet,RSA,08/31/2019,LEN Cup,"Copenhagen, DEN",6.0,NW,Neutral,14.0,5372.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriela Martins Scrooby,RSA,08/31/2019,LEN Cup,"Copenhagen, DEN",6.0,NW,Neutral,14.0,5384.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
