athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Angela Maurer,GER,08/31/2019,FINA Grand Prix,"Novi, CRO",20.0,NW,Neutral,10.0,16090.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alice Franco,ITA,08/31/2019,FINA Grand Prix,"Novi, CRO",20.0,NW,Neutral,10.0,16107.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romina Soledad Imwinkelried,ARG,08/31/2019,FINA Grand Prix,"Novi, CRO",20.0,NW,Neutral,10.0,16550.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilar Geijo,ARG,08/31/2019,FINA Grand Prix,"Novi, CRO",20.0,NW,Neutral,10.0,16558.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erika Yenssen,ARG,08/31/2019,FINA Grand Prix,"Novi, CRO",20.0,NW,Neutral,10.0,16570.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marie-Laurence Lortie,CAN,08/31/2019,FINA Grand Prix,"Novi, CRO",20.0,NW,Neutral,10.0,17350.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daira Marin,ARG,08/31/2019,FINA Grand Prix,"Novi, CRO",20.0,NW,Neutral,10.0,17906.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martina Oriozabala,ARG,08/31/2019,FINA Grand Prix,"Novi, CRO",20.0,NW,Neutral,10.0,18132.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rita Vanesa Garcia,ARG,08/31/2019,FINA Grand Prix,"Novi, CRO",20.0,NW,Neutral,10.0,18143.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivana Prizmic,CRO,08/31/2019,FINA Grand Prix,"Novi, CRO",20.0,NW,Neutral,10.0,19684.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
