athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Leonie Beck,GER,02/15/2020,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,53.0,7001.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana Marcela Cunha,BRA,02/15/2020,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,53.0,7001.3,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharon Van Rouwendaal,NED,02/15/2020,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,53.0,7001.3,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arianna Bridi,ITA,02/15/2020,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,53.0,7002.4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haley Anderson,USA,02/15/2020,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,53.0,7002.9,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rachele Bruni,ITA,02/15/2020,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,53.0,7003.9,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kareena Lee,AUS,02/15/2020,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,53.0,7003.9,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samantha Arevalo,ECU,02/15/2020,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,53.0,7005.3,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lea Boy,GER,02/15/2020,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,53.0,7006.1,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alice Dearing,GBR,02/15/2020,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,53.0,7007.5,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
