athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Sharon Van Rouwendaal,NED,08/27/2022,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,14.0,7269.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ginevra Taddeucci,ITA,08/27/2022,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,14.0,7270.04,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana Marcela Cunha,BRA,08/27/2022,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,14.0,7271.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giulia Gabbrielleschi,ITA,08/27/2022,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,14.0,7275.61,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viviane Jungblut,BRA,08/27/2022,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,14.0,7275.62,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moesha Johnson,AUS,08/27/2022,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,14.0,7277.5,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceane Cassignol,FRA,08/27/2022,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,14.0,7286.5,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbara Pozzobon,ITA,08/27/2022,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,14.0,7286.62,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lea Boy,GER,08/27/2022,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,14.0,7295.03,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caroline Laure Jouisse,FRA,08/27/2022,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,14.0,7304.16,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lisa Pou,FRA,08/27/2022,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,14.0,7333.63,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leonie Beck,GER,08/27/2022,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,14.0,7438.56,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megan Frost,CAN,08/27/2022,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,14.0,8051.78,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megan Willar,CAN,08/27/2022,FINA World Cup,"Lac Megantic, CAN",10.0,NW,Neutral,14.0,8122.22,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
