athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Leonie Beck,GER,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Cold,64.0,6977.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ginevra Taddeucci,ITA,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Cold,64.0,6978.6,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giulia Gabbrielleschi,ITA,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Cold,64.0,6980.5,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lea Boy,GER,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Cold,64.0,6980.6,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caroline Laure Jouisse,FRA,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Cold,64.0,6986.5,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mariah Denigan,USA,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Cold,64.0,6991.2,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurelie Muller,FRA,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Cold,64.0,6992.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharon Van Rouwendaal,NED,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Cold,64.0,6992.7,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viviane Jungblut,BRA,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Cold,64.0,6993.8,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angela Martinez Guillen,ESP,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Cold,64.0,6995.2,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashley Twichell,USA,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Cold,64.0,6995.4,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeannette Spiwoks,GER,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Cold,64.0,6996.3,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rachele Bruni,ITA,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Cold,64.0,7008.7,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
