athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Leonie Beck,GER,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,59.0,3571.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharon Van Rouwendaal,NED,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,59.0,3572.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana Marcela Cunha,BRA,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,59.0,3573.9,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angelica Andre,POR,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,59.0,3575.6,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbara Pozzobon,ITA,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,59.0,3575.8,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viviane Jungblut,BRA,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,59.0,3578.2,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurelie Muller,FRA,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,59.0,3580.1,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bettina Fábián,HUN,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,59.0,3584.2,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mafalda Rosa,POR,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,59.0,3584.6,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moesha Johnson,AUS,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,59.0,3586.3,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anastasiia Kirpichnikova,RUS,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,59.0,3586.4,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angela Martinez Guillen,ESP,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,59.0,3590.3,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeannette Spiwoks,GER,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,59.0,3605.1,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
